variable,fuel,country,unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Primary Energy Production,total,Bangladesh,Quad Btu,0.053592502,0.06238692,0.068250551,0.072666716,0.100848235,0.103918443,0.113381235,0.130883398,0.150629658,0.165856932,0.163959578,0.173798892,0.204701113,0.222818538,0.244679368,0.264079384,0.272847023,0.275218071,0.295666196,0.324726465,0.351479387,0.374265359,0.407537918,0.457669314,0.496985552,0.531887624,0.582734341,0.625679834,0.694488561,0.752755357,0.774865258,0.774034453,0.847458979,0.876633498,0.91664295,1.020221426,1.118750746
Primary Energy Production,total,Barbados,Quad Btu,0.0008376,0.0008376,0.00311759,0.00311759,0.005437136,0.00539758,0.00539758,0.003619164,0.004467637,0.003805201,0.003826889,0.003789915,0.004781041,0.004521707,0.004270587,0.004521707,0.003811188,0.003517226,0.005588792,0.00580658,0.005374398,0.003913174,0.003427449,0.003427449,0.003513132,0.004231587,0.004412654,0.004140842,0.003982787,0.002483923,0.00349658,0.003532754,0.003720179,0.003958802,0.003428102,0.003725061,0.003841488
Primary Energy Production,total,Belarus,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,0.09670208,0.09646688,0.096059604,0.09378399,0.08880363,0.085859535,0.086712964,0.086217948,0.087251252,0.087777452,0.085903073,0.08424579,0.084921533,0.082503932,0.082976921,0.082189846,0.081822484,0.078570867,0.069594033,0.068619895,0.068806304,0.070415488,0.069793935,0.060202154,0.076091233
Primary Energy Production,total,Belgium,Quad Btu,0.300192172,0.299867614,0.335986457,0.408248541,0.450967332,0.513190128,0.546020519,0.538545967,0.498845192,0.464191141,0.458811189,0.450046881,0.446257483,0.425194793,0.413147453,0.421087495,0.439801679,0.478699319,0.468369884,0.498023544,0.492247976,0.477170279,0.486964287,0.485856541,0.489457483,0.497034033,0.496805109,0.519475593,0.503448769,0.538064796,0.567869373,0.586339745,0.527821593,0.560813658,0.484420845,0.419735892,0.587203185
Primary Energy Production,total,Belize,Quad Btu,0.00041552,0.00041812,0.00041816,0.000420801,0.0004176,0.00041788,0.00041784,0.00041676,0.00041296,0.00041728,0.00041608,0.00041744,0.00041368,0.00041236,0.00041264,0.00082496,0.001034,0.001103004,0.001072724,0.001178035,0.001359079,0.001359864,0.001306956,0.001026513,0.001036105,0.001087941,0.006602427,0.008696747,0.009739325,0.010521898,0.011356159,0.011119107,0.008601997,0.009046252,0.006074788,0.006610219,0.006842968
Primary Energy Production,total,Benin,Quad Btu,0,0,0,0.00896002,0.01573068,0.0179288,0.0179288,0.015690255,0.01147972,0.00896732,0.00896732,0.00896732,0.012588643,0.013005228,0.013453594,0.00672549,0.005009466,0.002914379,0.002500995,0.002501044,0.001551101,0.001569281,0.001793464,0.001813714,1.00E-05,1.00E-05,4.96E-05,3.95E-05,3.94E-05,1.95E-05,1.95E-05,1.94E-05,1.90E-05,2.86E-05,2.85E-05,0.00018638,0.000185563
Primary Energy Production,total,Bermuda,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,total,Bhutan,Quad Btu,6.40E-05,7.62E-05,8.69E-05,9.08E-05,9.68E-05,0.000100164,0.003160341,0.012230103,0.015851747,0.016016879,0.016095833,0.016315203,0.018446401,0.018061713,0.018227166,0.01894102,0.020272918,0.020379142,0.019840031,0.019881512,0.019938972,0.021656216,0.024095057,0.026533088,0.02431029,0.028026562,0.045627653,0.065678793,0.06926749,0.06929657,0.07179532,0.06919779,0.065916473,0.07343915,0.070046945,0.073890272,0.074671371
Primary Energy Production,total,Bolivia,Quad Btu,0.14726964,0.135314241,0.151438736,0.150202062,0.156507088,0.150819841,0.14749375,0.147512566,0.157018896,0.16786002,0.169755264,0.168217808,0.17739924,0.172618066,0.177225606,0.19914899,0.200824174,0.203731853,0.211768097,0.184898047,0.215902358,0.277249837,0.321370297,0.363261066,0.504640868,0.590727488,0.620748442,0.656382716,0.6579185,0.572178473,0.639860601,0.693116849,0.788160469,0.898373361,0.922998659,0.908048372,0.872096817
Primary Energy Production,total,Bosnia and Herzegovina,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,0.058002529,0.042851918,0.055919756,0.091804294,0.07678267,0.126189825,0.14800247,0.154385024,0.159162803,0.162993938,0.16829792,0.149093953,0.140818909,0.142573027,0.143473756,0.128010058,0.145525793,0.157699781,0.169918035,0.145150795,0.140844689,0.159221642,0.146034402,0.140062343,0.145977844
Primary Energy Production,total,Botswana,Quad Btu,0.008524114,0.008969488,0.009483825,0.008796519,0.00875198,0.009731845,0.010912138,0.010845329,0.013562228,0.01476479,0.017682117,0.017918841,0.020129943,0.019820005,0.020129943,0.020530797,0.016424638,0.017562526,0.020577174,0.016023784,0.020933489,0.020753494,0.021445989,0.018655875,0.020575337,0.021935624,0.021846843,0.018878572,0.020530797,0.016870031,0.022004866,0.017548499,0.032758683,0.033649931,0.038443655,0.046534212,0.041854682
