variable,fuel,country,unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Primary Energy Production,Coal,Kenya,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Kiribati,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,North Korea,Quad Btu,0.76664156,0.797932802,0.838463798,0.847854593,0.869368055,0.686355675,0.681453036,0.676585417,0.815917358,0.630243941,0.83958268,0.787662785,0.739541908,0.686355675,0.643300153,0.600244631,0.531862331,0.52173162,0.471078065,0.536927686,0.569852497,0.585048564,0.554656431,0.564787142,0.577450531,0.609362271,0.625064873,0.610375342,0.634689048,0.64583283,0.814559823,0.764463457,0.767097442,0.758334377,0.776966159,0.704708225,0.797134277
Primary Energy Production,Coal,South Korea,Quad Btu,0.48350422,0.515694568,0.522210517,0.515590728,0.554764305,0.585215335,0.629606864,0.630152023,0.630697182,0.539577729,0.446952599,0.390905049,0.310740698,0.245139884,0.193090168,0.14849096,0.128527753,0.117183251,0.113211377,0.108953944,0.107733826,0.09908916,0.086135141,0.085615942,0.082838226,0.073518601,0.073310922,0.074920439,0.071986964,0.065393134,0.054100553,0.054100553,0.054360152,0.047117324,0.045674581,0.046691233,0.045978309
Primary Energy Production,Coal,Kosovo,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.060080025,0.066873277,0.067325219,0.064550013,0.067593559,0.063977219,0.056076394,0.064148468,0.068507544
Primary Energy Production,Coal,Kuwait,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Kyrgyzstan,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,0.033790006,0.027035146,0.013274084,0.007273256,0.006424971,0.008200085,0.006786277,0.006550643,0.006676314,0.007477472,0.00721042,0.006534934,0.007241838,0.005262507,0.005042581,0.006205045,0.007618853,0.009535348,0.009032661,0.013054158,0.018285247,0.022118237,0.028180286,0.028526928,0.028576714
Primary Energy Production,Coal,Laos,Quad Btu,1.49E-06,1.66E-06,3.32E-06,4.98E-06,6.64E-06,1.66E-05,3.32E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.66E-05,1.49E-06,0.000390585,0.000842462,0.001584941,0.001429442,0.001308951,0.003809035,0.004100964,0.004406179,0.004834442,0.005753406,0.006152443,0.006715711,0.00758416,0.008370195,0.00943256,0.012177735,0.014041053,0.015631738,0.017519102,0.019276348,0.070659429,0.070317262
Primary Energy Production,Coal,Latvia,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Lebanon,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Lesotho,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Liberia,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Libya,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Lithuania,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Luxembourg,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Macau,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Macedonia,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,0.042711582,0.042338207,0.041989316,0.044370343,0.043733771,0.041009974,0.05004441,0.045141576,0.046004621,0.049615947,0.046396358,0.045184422,0.04434586,0.042117855,0.040636599,0.039840884,0.046702403,0.045453741,0.041156875,0.050246399,0.044743718,0.040924281,0.041195416,0.036600144,0.031133924
Primary Energy Production,Coal,Madagascar,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Malawi,Quad Btu,0,0,0,0.000249376,0.000274313,0.00071072,0.000773064,0.00079956,0.001147127,0.00132169,0.001249994,0.001271814,0.001296752,0.001296752,0.001271814,0.001221939,0.001321689,0.001371565,0.00142144,0.00157705,0.001962584,0.001204483,0.001568571,0.002029916,0.001291764,0.001294258,0.001506227,0.00146134,0.001511215,0.001471315,0.001970065,0.00192019,0.001770565,0.001670815,0.001596002,0.001471315,0.001072314
Primary Energy Production,Coal,Malaysia,Quad Btu,0,0,0,0,0,0,0.000459735,0.001867883,0.001910823,0.002329357,0.002383161,0.003861837,0.003809519,0.004291717,0.00474147,0.005191359,0.005612683,0.006069149,0.006763025,0.007194259,0.00764191,0.011722576,0.012115833,0.013792524,0.015399672,0.016918275,0.019344373,0.023080134,0.026923278,0.045902687,0.051463396,0.062606284,0.063336183,0.062133053,0.056504599,0.055850026,0.051596785
Primary Energy Production,Coal,Maldives,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Mali,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Malta,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Martinique,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Mauritania,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Mauritius,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Mexico,Quad Btu,0.065222808,0.064230425,0.077236981,0.098098144,0.106881792,0.109647797,0.118769277,0.131247969,0.117185687,0.125884876,0.146387093,0.13646326,0.128883141,0.13967267,0.18787716,0.196787495,0.217585316,0.219696769,0.237158492,0.218028721,0.239523321,0.239544435,0.231922087,0.252635449,0.27702274,0.284518401,0.317625997,0.342414465,0.305316222,0.269104789,0.323136892,0.412113555,0.332596205,0.320666491,0.323819965,0.333608559,0.290725383
Primary Energy Production,Coal,Moldova,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Mongolia,Quad Btu,0.12803073,0.10438829,0.130599317,0.131999239,0.131752917,0.15824401,0.1713926,0.188374174,0.208776322,0.195166803,0.173624464,0.170713337,0.151548418,0.136265001,0.12512994,0.121757885,0.12396549,0.119453243,0.122679742,0.120423619,0.125784944,0.124717531,0.134494066,0.128793109,0.131000713,0.182333585,0.202808511,0.22876606,0.24909543,0.350548205,0.611652034,0.718005205,0.692872476,0.808820237,0.570167181,0.585276626,0.891023686
Primary Energy Production,Coal,Montenegro,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.013893506,0.011054158,0.015988558,0.008793707,0.017807946,0.018129555,0.016411244,0.015547495,0.015207508,0.01629179,0.01284598
Primary Energy Production,Coal,Montserrat,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Morocco,Quad Btu,0.014179327,0.014658922,0.015326185,0.015659816,0.017473936,0.016160263,0.016160263,0.013220137,0.013261841,0.010509384,0.010968127,0.011489425,0.012010724,0.012594579,0.013553769,0.013553769,0.010551088,0.007840334,0.005609175,0.002689902,0.000646411,0.00060992,0.000573429,0.000536938,0.000500447,0.000250223,8.34E-05,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Mozambique,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000575316,0.00054655,0.000517784,0.000604081,0.00069039,0.000827401,0.001213521,0.001020461,0.00046886,0.000910141,0.001130781,0.00066192,0.001048041,0.001016324,0.000984607,0.017016871,0.124937478,0.167686505,0.188963277,0.18440128,0.169087251
Primary Energy Production,Coal,Namibia,Quad Btu,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Nauru,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Nepal,Quad Btu,0.000133532,0.000147622,0.000144476,0.000148884,0.000137169,0.000122964,8.19E-05,0,0,0,0,0,3.28E-05,3.28E-05,3.28E-05,9.83E-05,0.00011469,0.000131074,0.000180227,0.000294916,0.000278532,0.000163842,0.000196611,0.000180227,0.000147458,0.000151702,0.000196005,0.000268276,0.00022684,0.000242798,0.000193334,0.000215617,0.000154176,0.000229379,0.000243293,0.000307727,0.000337532
Primary Energy Production,Coal,Netherlands,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Netherlands Antilles,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,New Caledonia,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,New Zealand,Quad Btu,0.047526397,0.048147397,0.048625459,0.053936873,0.055756446,0.053403936,0.055595048,0.048304636,0.054417642,0.061788777,0.058019499,0.06091644,0.06946776,0.078555284,0.072324828,0.087539983,0.089509224,0.084781942,0.073674403,0.085581476,0.085211434,0.096433983,0.110992662,0.126328462,0.127559018,0.129955962,0.140340499,0.116110879,0.119610934,0.113889958,0.131804884,0.121345376,0.119948625,0.11410654,0.097920567,0.080832286,0.068106518
Primary Energy Production,Coal,Nicaragua,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Niger,Quad Btu,0.000404863,0.000607294,0.000910942,0.002631609,0.003036472,0.003056715,0.00251015,0.003319876,0.003137688,0.003461578,0.003115801,0.003168899,0.002702963,0.003164202,0.003167502,0.003460987,0.003684694,0.00329639,0.003668317,0.003410278,0.003202462,0.003305702,0.003702467,0.003823926,0.004789199,0.003685463,0.003569267,0.003467647,0.003702467,0.003864412,0.004809766,0.00534216,0.005078999,0.004896811,0.005534571,0.004947804,0.005611308
Primary Energy Production,Coal,Nigeria,Quad Btu,0.003045561,0.00298592,0.002926279,0.002866637,0.002806996,0.002747355,0.002687714,0.003015753,0.002110736,0.002162218,0.002316662,0.002574069,0.00223944,0.000720739,0.000643517,0.000514814,0.000437592,0.000257407,0.000308888,0.000411851,7.72E-05,0.000592036,0.001055368,0.000592036,7.72E-05,0.000205925,0.000398981,0.000592036,0.000702978,0.000991325,0.001045381,0.00100938,0.001656376,0.00113259,0.001184072,0.001209812,0.001184072
Primary Energy Production,Coal,Niue,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Northern Mariana Islands,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Norway,Quad Btu,0.008074195,0.011494514,0.012335576,0.014073771,0.012643965,0.014213947,0.01225147,0.011186124,0.007401345,0.009504,0.008494726,0.009251682,0.010064708,0.007513487,0.008438655,0.008186337,0.006448142,0.010821664,0.009195611,0.011326301,0.017718372,0.050127294,0.059771472,0.082536216,0.0814148,0.041240073,0.067144782,0.114188182,0.09616142,0.07404149,0.054248498,0.038857064,0.034455506,0.052005666,0.046959294,0.031007152,0.022932957
Primary Energy Production,Coal,Oman,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Pakistan,Quad Btu,0.028704068,0.028374557,0.032310383,0.029454621,0.031990871,0.036002355,0.035116007,0.035816357,0.045294014,0.043497022,0.048943758,0.050717678,0.051464991,0.054254962,0.056035801,0.050533695,0.060416147,0.059004554,0.055263472,0.057476713,0.052610872,0.051398563,0.055002309,0.054387851,0.076176205,0.080892587,0.060499219,0.068487175,0.062085185,0.057808888,0.057302376,0.060001009,0.052793549,0.05546727,0.058237854,0.064077684,0.070603106
Primary Energy Production,Coal,Palestinian Territories,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Panama,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Papua New Guinea,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Paraguay,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Peru,Quad Btu,0.001307908,0.002833351,0.002217785,0.00283133,0.0032334,0.004006561,0.004673984,0.003419956,0.003793066,0.003240135,0.002618536,0.001804937,0.002424542,0.002238529,0.001993512,0.001385116,0.001562483,0.000592666,0.000538787,0.000565727,0.00043103,0.000511848,0.000592666,0.00043103,0.000592666,0.001158392,0.002882511,0.003017208,0.003825389,0.003286602,0.005145417,0.007004233,0.009455715,0.008647534,0.008869961,0.012158947,0.012203379
Primary Energy Production,Coal,Philippines,Quad Btu,0.007253528,0.007297622,0.012302336,0.022488142,0.026809392,0.027823563,0.027250336,0.026633015,0.029940094,0.029984189,0.027404667,0.029234584,0.036620395,0.034878667,0.031946389,0.029300726,0.024428295,0.023722785,0.025508608,0.025949552,0.029829858,0.027118053,0.036708584,0.044755811,0.060100661,0.069735286,0.057058148,0.082390378,0.087681705,0.114116295,0.161760289,0.167801221,0.179750803,0.158805965,0.185615357,0.180191747,0.266484478
Primary Energy Production,Coal,Poland,Quad Btu,3.696603588,3.192728039,3.64799854,3.755061446,3.889207522,4.008437762,4.168365087,4.278739051,4.278722978,4.005110631,3.456953697,3.366237132,3.185125464,3.184916514,3.21296407,3.210392374,3.228972875,3.219409382,2.860448884,2.735014428,2.599068165,2.617214692,2.586691879,2.613148199,2.599261042,2.551540014,2.495364537,2.329699116,2.303741062,2.163213967,2.132610788,2.22626873,2.306714585,2.287442941,2.240608865,2.238538788,2.175959265
Primary Energy Production,Coal,Portugal,Quad Btu,0.003690795,0.003836759,0.003711647,0.003857611,0.004045279,0.004941913,0.004921061,0.005442359,0.004795949,0.005379804,0.005859398,0.005630027,0.004608281,0.004107835,0.003065237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Puerto Rico,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Qatar,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Reunion,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Romania,Quad Btu,0.273101825,0.286794196,0.294024824,0.345788664,0.3439014,0.361772157,0.369064917,0.400162053,0.456313976,0.47642149,0.296548942,0.251743902,0.298001281,0.308726842,0.31490899,0.319366971,0.325176326,0.262562661,0.203723523,0.177713456,0.227442468,0.258539605,0.236210867,0.256784372,0.246913128,0.241585297,0.271230095,0.277886,0.278515088,0.263758705,0.241748394,0.275804573,0.26363444,0.191996082,0.185829348,0.196791625,0.177132063
Primary Energy Production,Coal,Russia,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,7.649759052,6.923018161,6.156552894,5.941199872,5.810832353,5.545721106,5.286823592,5.686170831,5.810542218,5.997050942,5.744197917,6.213226014,6.26073569,6.839483335,6.880223185,6.987935963,7.373356701,6.672897244,7.221906008,7.147969829,7.96327456,8.46250092,8.707063512,9.050292815,9.383569261
Primary Energy Production,Coal,Rwanda,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Saint Helena,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Saint Kitts and Nevis,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Saint Lucia,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Saint Pierre and Miquelon,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Saint Vincent/Grenadines,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Samoa,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Sao Tome and Principe,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Saudi Arabia,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Senegal,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Serbia,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.297636749,0.300614735,0.313246898,0.311547504,0.307315203,0.332636176,0.30940303,0.326097555,0.242440423,0.300780147,0.300791821
Primary Energy Production,Coal,Seychelles,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Sierra Leone,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Singapore,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Slovakia,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,--,0.037772458,0.038698933,0.040030074,0.040775513,0.041691338,0.042074706,0.039912933,0.03884802,0.036462616,0.036249633,0.032980351,0.031436227,0.026739961,0.023438732,0.02248031,0.025802838,0.027400207,0.025323627,0.025302329,0.024407802,0.025057399,0.024200404,0.02068993,0.018869799
Primary Energy Production,Coal,Slovenia,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,0.06338454,0.058233267,0.055197086,0.05553823,0.054207769,0.056061317,0.055435887,0.05180839,0.050944159,0.046998261,0.05328668,0.054924171,0.05468537,0.051626446,0.05142176,0.051569589,0.051399017,0.050364214,0.050375585,0.051182959,0.048647123,0.044075794,0.03417142,0.036025851,0.039343817
Primary Energy Production,Coal,Solomon Islands,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Somalia,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,South Africa,Quad Btu,2.726122466,3.026393773,3.279777289,3.447910276,3.857586429,4.108601875,4.184380122,4.182012052,4.295679424,4.174907841,4.139386788,4.219901176,4.129914507,4.45703973,4.636799943,4.883221332,4.886797118,5.21148323,5.280251989,5.292968527,5.309213489,5.294057839,5.214798528,5.65379139,5.840087476,5.801535292,5.796775471,5.864904852,5.982361136,5.933957781,6.023849727,5.947574184,6.123261316,6.074905321,6.203040372,5.973769775,5.978641867
Primary Energy Production,Coal,South Sudan,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0
Primary Energy Production,Coal,Spain,Quad Btu,0.487184718,0.603522198,0.681459356,0.687985695,0.681769319,0.682991931,0.659865638,0.595652721,0.548280843,0.62768169,0.614438848,0.577932756,0.576365749,0.543854664,0.510275948,0.487407981,0.464763872,0.456153945,0.450092556,0.418425244,0.404167204,0.39051186,0.379422274,0.354074648,0.352783159,0.335459985,0.317654656,0.29587154,0.175418658,0.162641526,0.145163373,0.114012657,0.106435921,0.07578458,0.066828299,0.052237358,0.034445859
Primary Energy Production,Coal,Sri Lanka,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Sudan,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Suriname,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Swaziland,Quad Btu,0.004156044,0.003872677,0.003140647,0.002408617,0.002951736,0.003919905,0.004061589,0.003896291,0.003447628,0.003612922,0.003778217,0.002904505,0.002361386,0.001180693,0.00538396,0.004061584,0.003046188,0.004793613,0.009681682,0.010059504,0.008973266,0.007438365,0.010012276,0.010594688,0.011530977,0.01064985,0.007333756,0.005697622,0.004203536,0.003153667,0.003526257,0.00294672,0.003666217,0.006087635,0.004236314,0.003398175,0.003850816
Primary Energy Production,Coal,Sweden,Quad Btu,0.000455521,0.000404907,0.0003796,0.000354294,0.000328987,0.000303681,0.000468174,0.000632668,0.000404907,0.000506134,0.000278374,0.000708587,0.000936347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Switzerland,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Syria,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Taiwan,Quad Btu,0.065566688,0.062318712,0.060740977,0.056986868,0.051127185,0.047253082,0.043819713,0.037832075,0.030956429,0.019840443,0.011944756,0.010173288,0.00847774,0.008300593,0.007212406,0.005947071,0.003720083,0.002505362,0.001999228,0.002328215,0.002100455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Tajikistan,Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,0.009241323,0.008348442,0.002433102,0.000915204,0.000446441,0.000379475,0.000424119,0.000424119,0.000491085,0.000535729,0.000803593,0.001049136,0.002075949,0.002209882,0.002343814,0.004040289,0.004442085,0.004509052,0.004464407,0.005268001,0.009196679,0.011518171,0.019614024,0.023355691,0.03070744
Primary Energy Production,Coal,Tanzania,Quad Btu,0,0,0,0,0,0,0,0,0,7.08E-05,0.000176967,0.000283148,0.000566295,0.00113259,0.001184072,0.00113259,0.001467219,0.000720739,0.001158331,0.001930552,0.002038251,0.002002342,0.00203892,0.001405699,0.0016742,0.000792684,0.000461788,0.000700095,0.00039234,0.001388813,0.001733172,0.002077531,0.002025071,0.00218209,0.006332209,0.006615357,0.00710443
Primary Energy Production,Coal,Thailand,Quad Btu,0.015884765,0.01794718,0.023665695,0.022457412,0.025967684,0.054039449,0.057686007,0.072197634,0.075987082,0.093849504,0.129562111,0.152556391,0.160290928,0.16184676,0.178064261,0.191875438,0.225932327,0.244141609,0.208285151,0.19021415,0.185260599,0.204231152,0.204178957,0.196277313,0.208948128,0.217472079,0.198644016,0.189983615,0.188485862,0.182972699,0.190180341,0.222148238,0.188184246,0.18864604,0.192428541,0.161148676,0.179864333
Primary Energy Production,Coal,Timor-Leste (East Timor),Quad Btu,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Energy Production,Coal,Togo,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
