sectorCode,sector,unit,ISO,country,variable,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SHN,"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",KYOTOGHGAR4,0.010988,0.010411,0.010407,0.014118,0.013611,0.013655,0.013479,0.013376,0.013399,0.013401,0.013652,0.013506,0.013531,0.013547,0.013748,0.013789,0.01373,0.01384,0.014022,0.014019,0.014048,0.014061,0.014049,0.014171,0.01422,0.014228,0.014149,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SLB,SOLOMON ISLANDS,KYOTOGHGAR4,0.25363,0.2567,0.25414,0.25653,0.25271,0.26284,0.26668,0.26845,0.26861,0.27983,0.29009,0.29654,0.30301,0.31205,0.31981,0.31764,0.32669,0.35027,0.36307,0.37382,0.3808,0.384,0.38763,0.39775,0.4025,0.42054,0.46395,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SLE,SIERRA LEONE,KYOTOGHGAR4,3.5392,3.5649,3.4578,3.5244,3.5142,3.2906,3.2982,3.3375,3.2447,3.0863,3.1135,3.4239,3.7612,3.9632,4.396,4.6001,5.3107,4.688,5.0421,5.1536,5.4431,5.9419,6.5335,6.8744,6.838,6.4638,7.3889,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SLV,EL SALVADOR,KYOTOGHGAR4,7.1515,7.9457,8.1913,8.5227,9.3933,9.5036,9.55,10.6105,10.4882,10.4868,10.3352,10.899,11.0337,11.4104,11.4264,11.7055,12.2059,12.3905,12.0564,11.7166,11.5256,11.4298,11.673,10.3302,10.6376,12.1582,12.4055,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SMR,SAN MARINO,KYOTOGHGAR4,0.21566,0.22109,0.22147,0.22025,0.2212,0.23576,0.23819,0.24344,0.25137,0.25581,0.2643,0.26505,0.26865,0.27678,0.28045,0.28144,0.28046,0.27922,0.27291,0.251,0.25739,0.25431,0.24236,0.20807,0.19551,0.21985,0.21657,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SOM,SOMALIA,KYOTOGHGAR4,25.3436,22.3808,20.4389,22.3499,24.1954,24.7678,25.3046,25.8509,25.8109,26.0342,26.358,26.9559,27.3982,27.6368,28.3242,28.8626,27.6306,26.5262,26.6379,26.6926,26.9568,27.1627,27.4611,27.7874,28.0032,28.3022,28.2162,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SRB,SERBIA,KYOTOGHGAR4,78.6794,56.2946,62.1088,55.3314,53.8729,56.8413,64.5962,68.7248,71.0593,53.6326,57.8089,61.1555,64.6391,67.4511,73.7412,70.3814,74.5845,73.91,73.3631,68.1664,68.293,72.3613,67.8742,68.6835,61.6328,72.1609,75.0316,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SSD,"SOUTH SUDAN, REPUBLIC OF",KYOTOGHGAR4,37.5343,38.1007,39.7742,41.106,42.7226,43.2419,42.3932,43.7704,46.8855,47.7633,51.3873,45.4375,53.0328,51.1706,52.4169,55.1254,49.0827,55.2819,53.6149,54.9244,49.278,52.1618,52.9819,53.4627,55.0302,54.9312,55.2057,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,STP,SAO TOME AND PRINCIPE,KYOTOGHGAR4,0.084456,0.086113,0.08693,0.087274,0.087078,0.088009,0.088677,0.090134,0.090032,0.091488,0.10538,0.10853,0.11808,0.12991,0.13656,0.14264,0.14753,0.15117,0.15437,0.16374,0.17236,0.17764,0.19045,0.19515,0.19763,0.22582,0.23472,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SUR,SURINAME,KYOTOGHGAR4,3.1686,3.5045,3.6205,3.4829,3.459,3.5141,3.5929,3.5562,3.5132,3.2536,3.2333,3.4116,2.432,2.4993,2.5133,2.5008,2.6846,2.6728,2.9229,3.0482,3.455,3.0468,3.2888,2.9636,3.0769,3.3491,3.4198,
