category,country,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IPCM0EL,BGR,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,105000.0,82800.0,78400.0,78300.0,74300.0,75400.0,76000.0,72600.0,68100.0,61700.0,60700.0,63600.0,60500.0,65200.0,64000.0,64600.0,65000.0,69200.0,67300.0,58300.0,61000.0,66400.0,61400.0,55900.0,58900.0,62100.0,59400.0
IPCM0EL,BHR,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,19100.0,15800.0,15100.0,19400.0,19400.0,19400.0,20300.0,22300.0,23400.0,23200.0,23700.0,19200.0,21200.0,21700.0,23400.0,26100.0,26300.0,34300.0,37500.0,36100.0,37200.0,36600.0,34500.0,40000.0,40200.0,33400.0,32700.0
IPCM0EL,BHS,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,2490.0,2320.0,2340.0,2250.0,2250.0,2270.0,2280.0,1980.0,2320.0,2310.0,2300.0,2210.0,2220.0,2180.0,2420.0,2430.0,2360.0,2400.0,2230.0,2360.0,2380.0,2640.0,2750.0,3590.0,3200.0,3300.0,3350.0
IPCM0EL,BIH,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,35700.0,33500.0,16400.0,11600.0,11500.0,10400.0,12100.0,15100.0,19400.0,19800.0,21100.0,21200.0,21700.0,21600.0,23100.0,23300.0,24500.0,24200.0,26000.0,26600.0,26900.0,28900.0,27300.0,26800.0,28600.0,27300.0,28300.0
IPCM0EL,BLR,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,141000.0,132000.0,123000.0,109000.0,92800.0,84500.0,86500.0,90200.0,87100.0,83600.0,82000.0,82000.0,80800.0,83000.0,89800.0,91600.0,97600.0,95400.0,99400.0,95500.0,100000.0,97500.0,98500.0,101000.0,100000.0,96000.0,97700.0
IPCM0EL,BLZ,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,601.0,643.0,665.0,667.0,663.0,636.0,572.0,668.0,668.0,665.0,710.0,775.0,820.0,889.0,726.0,773.0,798.0,854.0,814.0,1010.0,941.0,1050.0,933.0,1010.0,955.0,1150.0,1210.0
IPCM0EL,BOL,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,17300.0,18300.0,19700.0,21600.0,23200.0,27900.0,39000.0,51000.0,55800.0,53400.0,49900.0,39800.0,36000.0,40400.0,51700.0,57300.0,61700.0,61600.0,64600.0,67500.0,72200.0,74600.0,80000.0,82200.0,85200.0,86200.0,88700.0
IPCM0EL,BRA,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,606000.0,630000.0,640000.0,654000.0,674000.0,700000.0,707000.0,735000.0,753000.0,773000.0,803000.0,821000.0,839000.0,866000.0,900000.0,916000.0,922000.0,927000.0,956000.0,942000.0,1000000.0,1010000.0,1040000.0,1050000.0,1080000.0,1070000.0,1050000.0
IPCM0EL,BRB,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,1270.0,1400.0,1180.0,1310.0,947.0,1030.0,1050.0,1090.0,1330.0,1400.0,1380.0,1400.0,1390.0,1430.0,1460.0,1510.0,1520.0,1520.0,1780.0,1780.0,1640.0,1710.0,1660.0,1630.0,1450.0,1490.0,1520.0
IPCM0EL,BRN,HISTCR,PRIMAP-hist_v2.0,GgCO2eq,KyotoGHG-AR4-total-excl-LU,10000.0,10000.0,9980.0,9260.0,9140.0,9360.0,9440.0,9680.0,9860.0,8800.0,9870.0,10000.0,9610.0,10200.0,10400.0,10300.0,11000.0,14400.0,16100.0,14000.0,14000.0,15800.0,15600.0,14300.0,15700.0,16100.0,17800.0
