category,country,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IPC2,DEU,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,14.1,13.8,14.8,16.3,17.8,18.0,17.4,18.3,19.2,20.8,22.6,22.2,20.8,23.1,23.0,23.8,23.2,23.2,21.8,20.5,21.3,21.2,20.5,20.3,21.0,21.2,21.4
IPC2,DNK,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.0973,0.0897,0.10800000000000001,0.0928,0.0854,0.10099999999999999,0.115,0.135,0.115,0.121,0.134,0.122,0.153,0.174,0.158,0.146,0.17300000000000001,0.132,0.11800000000000001,0.11800000000000001,0.0985,0.0925,0.132,0.132,0.11199999999999999,0.14800000000000002,0.0896
IPC2,DZA,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.402,0.349,0.37,0.34299999999999997,0.34299999999999997,0.39,0.315,0.28300000000000003,0.293,0.364,0.348,0.35600000000000004,0.37,0.369,0.386,0.384,0.389,0.39,0.387,0.389,0.38799999999999996,0.37200000000000005,0.41,,,,
IPC2,ECU,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,6.55e-05,6.459999999999998e-05,6.879999999999999e-05,6.37e-05,7.47e-05,7.15e-05,7.15e-05,7.15e-05,7.15e-05,7.15e-05,7.15e-05,7.15e-05,7.15e-05,7.15e-05,7.15e-05,7.15e-05,7.15e-05,7.15e-05,7.15e-05,7.15e-05,7.15e-05,,,,,,
IPC2,EGY,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.012,0.0333,0.0544,0.0807,0.0917,0.0927,0.0937,0.0878,0.08,0.0969,0.11599999999999999,0.125,0.134,0.14,0.153,0.162,0.166,0.17300000000000001,0.191,0.214,0.213,0.22899999999999998,0.235,,,,
IPC2,ESP,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,6.29,6.34,6.83,7.23,7.83,7.31,7.48,7.75,8.16,8.28,7.87,8.09,7.6,7.86,7.18,6.85,6.76,7.11,6.12,5.93,6.8,6.82,6.0,5.89,6.81,7.14,7.45
IPC2,FIN,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.0734,0.0828,0.0807,0.0742,0.0689,0.0842,0.0848,0.0685,0.0918,0.0933,0.0916,0.0934,0.0824,0.10400000000000001,0.113,0.113,0.10800000000000001,0.10300000000000001,0.12300000000000001,0.12300000000000001,0.126,0.125,0.10800000000000001,0.00405,0.0034100000000000003,0.00414,0.0041
IPC2,FRA,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,3.67,4.0,4.3,4.01,4.17,4.31,4.45,4.72,4.43,4.53,4.61,4.74,4.51,4.98,5.24,4.29,4.1,3.84,3.41,2.97,3.57,2.57,2.18,2.17,2.48,2.31,2.15
IPC2,GBR,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,11.3,10.9,11.5,10.3,11.8,9.73,10.8,9.28,7.32,6.56,6.14,5.95,6.03,6.82,5.97,5.16,5.22,5.63,4.36,4.71,4.88,4.41,4.8,5.08,4.95,3.23,3.59
IPC2,GEO,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.212,0.188,0.165,0.165,0.055,0.033,0.022,0.0358,0.0495,0.0347,0.0282,0.0276,0.0275,0.0275,0.115,0.136,0.134,0.138,0.13699999999999998,0.125,0.225,0.267,0.28300000000000003,,,,
IPC2,GNQ,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,1.44,1.5,1.55,1.61,1.68,1.68,1.68,1.69,1.69,2.55,2.84,,,,
IPC2,GRC,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.0553,0.0581,0.0549,0.0583,0.0588,0.0624,0.0633,0.0648,0.0628,0.0253,0.0223,0.0266,0.0332,0.0318,0.0345,0.0397,0.0409,0.0433,0.0424,0.0381,0.0368,0.0383,0.0318,0.0103,0.0102,0.00909,0.0116
IPC2,HRV,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.381,0.35700000000000004,0.311,0.257,0.268,0.242,0.214,0.228,0.20199999999999999,0.20600000000000002,0.14400000000000002,0.147,0.13699999999999998,0.131,0.157,0.158,0.154,0.14400000000000002,0.13699999999999998,0.122,0.11599999999999999,0.0775,0.00587,0.0060799999999999995,0.00672,0.00671,0.00613
IPC2,HUN,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,1.01,1.0,1.07,1.06,1.09,1.07,1.08,1.1,1.16,1.13,1.33,1.3,1.32,1.28,1.35,2.0,1.96,2.18,2.04,1.9,2.02,2.0,1.69,1.74,1.81,2.02,1.76
IPC2,IDN,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.0568,0.0955,0.11800000000000001,0.132,0.154,1.28,3.51,4.84,2.92,3.35,3.37,3.42,3.14,3.33,3.28,3.47,3.09,3.19,3.47,3.0,2.9,2.61,2.71,,,,
IPC2,IND,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,1.73,2.51,2.47,2.74,2.7,3.92,4.38,4.78,5.67,5.79,6.22,7.89,9.63,11.3,12.8,14.8,16.9,18.7,21.4,22.7,24.3,24.3,24.2,,,,
IPC2,IRN,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.168,0.168,0.168,0.168,0.174,0.306,0.5589999999999999,0.495,0.431,0.43799999999999994,1.19,1.77,1.78,1.92,2.8,4.0,4.07,6.82,7.39,9.21,11.1,11.1,11.2,,,,
IPC2,IRQ,HISTCR,PRIMAP-hist_v2.0,Gg,CH4,0.0343,0.0276,0.0152,0.008579999999999999,0.008579999999999999,0.008579999999999999,0.008579999999999999,0.008579999999999999,0.008579999999999999,0.008579999999999999,0.008579999999999999,0.008579999999999999,0.008579999999999999,0.008579999999999999,0.008579999999999999,0.008579999999999999,0.008579999999999999,0.008579999999999999,0.008579999999999999,0.00686,0.00515,0.00343,0.00172,,,,
