variable;country;unit;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Nuclear, Renewables, and Other;Bahrain;Quad Btu;(s);(s);0.00011;(s);0.000251;(s);(s);(s);(s);0.000110243;(s);(s);(s);(s);9.42E-05;(s);0.000285836;(s);(s);(s);(s);9.28E-05;(s);(s);(s);(s);0.0001164;(s);(s);0.001349637;0.000708901;0.000504407;(s);(s);0.000109666;0.000129387;(s);-
Nuclear, Renewables, and Other;Bangladesh;Quad Btu;0.007307109;0.006629987;0.007899825;0.007481518;0.010204897;0.007838545;0.005051828;0.004970595;0.006998602;0.010569576;0.00948478;0.008660643;0.008901754;0.006122585;0.008458885;0.00646783;0.007963162;0.007407013;0.00840045;0.00846192;0.009770708;0.010771922;0.009785009;0.011418217;0.012316528;0.013179485;0.013982393;0.007401602;0.009454001;0.0035847;0.007976638;0.008632323;0.007723206;0.009149666;0.006395226;0.00763558;0.006596714;-
Nuclear, Renewables, and Other;Barbados;Quad Btu;0.0004188;0.0004188;0.0004188;0.0004188;0.0004188;0.0004188;0.000158895;0.000289876;0.001280672;(s);(s);(s);5.12E-05;(s);(s);0.000233575;(s);(s);0.000116986;0.000107612;0.000766992;(s);(s);0.00019651;0.000376841;0.000565424;0.000621201;0.00049081;0.000698551;0.000104625;0.00015867;0.000404359;0.000816582;0.001202074;0.000917332;0.000317829;0.001398157;-
Nuclear, Renewables, and Other;Belarus;Quad Btu;--;--;--;--;--;--;--;--;--;--;--;--;0.022031033;0.020417661;0.012871263;0.023829984;0.029568426;0.027272481;0.031208984;0.027282377;0.02668434;0.018522559;0.018933735;0.019083871;0.013836422;0.016767661;0.019038313;0.018318321;0.008794405;0.018040435;0.012370666;0.023096985;0.031168782;0.026933374;0.016191947;0.013277255;0.016034353;-
Nuclear, Renewables, and Other;Belgium;Quad Btu;0.135426014;0.144015599;0.163564871;0.239072345;0.281198866;0.340225633;0.392368504;0.407857834;0.422803547;0.401145792;0.416368914;0.428463613;0.43719269;0.42628249;0.445051563;0.455415724;0.461292161;0.493086642;0.497280038;0.521197057;0.53045783;0.532697638;0.517784942;0.511191499;0.520953093;0.521214257;0.527914862;0.546517803;0.559614334;0.518490865;0.539854817;0.568103445;0.529142489;0.567558608;0.513729576;0.469656188;0.591094484;-
Nuclear, Renewables, and Other;Belize;Quad Btu;0.00041552;0.00041812;0.00041816;0.000420801;0.0004176;0.00041788;0.000124253;0.000375439;0.000583755;0.000717164;0.000890382;0.000540346;0.00064405;0.000632039;0.000419706;0.000465958;0.00088211;0.001541028;0.001416128;0.000713189;0.001470025;0.002323541;0.00200647;0.00184932;0.001512111;0.002138553;0.002432293;0.002854858;0.003172681;0.002567203;0.002771593;0.003156508;0.002594751;0.003682852;0.00343656;0.003438884;0.003240069;-
Nuclear, Renewables, and Other;Benin;Quad Btu;0.000399204;0.000464032;0.000566392;0.000620984;0.00054592;0.000569804;0.000501055;0.000942365;0.000368095;0.000592611;0.000724107;0.00019655;0.000329212;0.000457708;0.001034078;0.001067548;0.001356546;0.000612232;0.000908221;0.00079154;0.001423692;0.001659533;0.001545252;0.001464365;0.002393187;0.00210334;0.001978104;0.001636093;0.001919428;0.003302415;0.003744836;0.003747888;0.00424809;0.00358301;0.004284661;0.00342456;0.003656082;-
Nuclear, Renewables, and Other;Bermuda;Quad Btu;0;0;0;0;0;0;(s);(s);(s);0.000118413;0.000310567;0.000157057;0.000372845;0.000404973;0.000136151;0.000319365;(s);(s);(s);(s);0.00023178;0.000349479;(s);(s);7.75E-05;(s);(s);(s);(s);0.000438427;0.000113202;0.00018221;(s);(s);0.000104616;0.000497225;(s);-
Nuclear, Renewables, and Other;Bhutan;Quad Btu;0.000135146;0.00043807;0.00056311;0.000516075;0.000472379;0.000616052;0.002721179;0.009399355;0.011871616;0.01202002;0.011655502;0.011864636;0.012061192;0.011871085;0.012644469;0.012642094;0.014237349;0.014378708;0.013843635;0.013849246;0.014206423;0.016032524;0.018082114;0.019251759;0.017803313;0.020606889;0.03307851;0.046320668;0.049942104;0.049100896;0.052049486;0.050498025;0.047369715;0.053872144;0.050575652;0.053681415;0.053983834;-
Nuclear, Renewables, and Other;Bolivia;Quad Btu;0.011651448;0.011791437;0.012711852;0.012613218;0.012694836;0.012365625;0.012174154;0.012039287;0.013011168;0.013252345;0.013257592;0.014781079;0.014022817;0.01470872;0.014020077;0.013788597;0.015256509;0.01699291;0.016144133;0.018700474;0.02072695;0.022276495;0.02282688;0.020630239;0.021554964;0.019623978;0.021721518;0.023262717;0.023186967;0.023865489;0.022573885;0.02359188;0.022684409;0.026167658;0.022650241;0.024841353;0.018111823;-
