"categoryCode","categoryName","Unit","CountryISO","CountryNames","Entity","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017",
"IPC1","Energy","MtCO2eq","BLR","BELARUS","CH4",0.92853,0.86907,0.94299,0.89236,0.85353,0.82479,0.90443,0.94854,0.90575,0.85226,0.93216,0.9186,0.93194,0.96237,1.0109,0.95692,1.025,1.1823,1.0824,0.94593,1.0294,0.96241,0.9785,0.97978,0.97556,0.94407,0.92592,NaN,
"IPC1","Energy","MtCO2eq","BOL","BOLIVIA, THE PLURINATIONAL STATE OF","CH4",0.92337,NaN,NaN,NaN,1.9734,NaN,NaN,NaN,1.0893,NaN,0.80997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","BRA","BRAZIL","CH4",11.4618,11.5185,11.2455,10.4832,10.3887,9.9456,9.7503,10.0737,10.2501,10.4706,10.7478,11.4009,12.0099,11.9427,12.7092,14.3808,13.6059,13.3266,13.4274,14.4123,13.2111,NaN,12.5454,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","CAN","CANADA","CH4",38.2822,39.2751,41.9095,44.134,46.1788,48.385,51.1099,52.4881,53.2748,52.7044,52.1121,50.2844,48.0925,46.8511,46.1157,44.2754,44.1822,43.8919,43.1849,40.6065,40.1619,40.8194,42.9729,44.5013,46.8387,45.2907,41.7885,NaN,
"IPC1","Energy","MtCO2eq","CHE","SWITZERLAND","CH4",0.53286,0.55954,0.55807,0.55088,0.53634,0.53367,0.53112,0.50172,0.48489,0.46263,0.43287,0.42002,0.39408,0.38018,0.36469,0.35167,0.33473,0.31308,0.30761,0.29554,0.30544,0.28029,0.26824,0.25809,0.23603,0.23363,0.23511,NaN,
"IPC1","Energy","MtCO2eq","CHL","CHILE","CH4",NaN,NaN,NaN,1.6107,2.0328,NaN,NaN,NaN,NaN,NaN,2.142,NaN,NaN,NaN,NaN,NaN,2.3091,NaN,NaN,NaN,1.9446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","CHN","CHINA","CH4",NaN,NaN,NaN,NaN,196.791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,324.0048,NaN,NaN,NaN,NaN,NaN,NaN,579.285,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","COL","COLOMBIA","CH4",5.6631,NaN,NaN,NaN,6.0306,NaN,NaN,NaN,NaN,NaN,7.2517,NaN,NaN,NaN,8.6623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","CRI","COSTA RICA","CH4",0.11184,NaN,NaN,NaN,NaN,NaN,0.0105,NaN,NaN,NaN,0.035133,NaN,NaN,NaN,NaN,0.10395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","CUB","CUBA","CH4",0.66654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.643,NaN,2.3566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","CYP","CYPRUS","CH4",0.0090079,0.0094952,0.0097804,0.0099037,0.010464,0.011125,0.011732,0.011601,0.012189,0.012602,0.012719,0.012967,0.01346,0.014346,0.015037,0.015679,0.016341,0.017935,0.018647,0.019044,0.018061,0.018048,0.017333,0.015683,0.015461,0.016747,0.01745,NaN,
"IPC1","Energy","MtCO2eq","CZE","CZECH REPUBLIC","CH4",11.124,10.0099,9.4014,9.214,8.7245,8.5162,8.4249,8.2173,7.7409,7.0394,6.429,6.1249,5.7259,5.6693,5.4501,5.7935,5.9909,5.6264,5.5953,5.3266,5.4211,5.4005,5.2391,4.5056,4.4286,4.3437,4.0758,NaN,
"IPC1","Energy","MtCO2eq","DEU","GERMANY","CH4",33.7878,31.6231,28.9204,29.6715,26.7144,25.7016,24.7371,24.2382,21.8686,22.6736,21.0728,19.0837,18.0117,16.6891,14.4124,12.9449,11.6137,10.7459,10.5833,9.6176,10.0745,9.9993,11.1056,10.7475,10.0694,10.54,10.3026,NaN,
"IPC1","Energy","MtCO2eq","DMA","DOMINICA","CH4",NaN,NaN,NaN,NaN,0.00028873,NaN,NaN,NaN,NaN,NaN,0.0010206,0.0024465,0.0023625,0.0022365,0.0023625,0.0022575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","DNK","DENMARK","CH4",0.30982,0.36898,0.38406,0.4263,0.49463,0.6164,0.71239,0.73526,0.7516,0.80049,0.7643,0.78608,0.76279,0.74888,0.76001,0.70964,0.67275,0.6272,0.60054,0.5279,0.57113,0.48591,0.39416,0.36217,0.3158,0.30581,0.31203,NaN,
"IPC1","Energy","MtCO2eq","DOM","DOMINICAN REPUBLIC","CH4",0.22575,NaN,NaN,NaN,0.33039,NaN,NaN,NaN,0.36876,NaN,0.3444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.21943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","EGY","EGYPT","CH4",4.8884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.383,NaN,NaN,NaN,NaN,8.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
"IPC1","Energy","MtCO2eq","ESP","SPAIN","CH4",2.9126,2.8091,3.0634,2.9098,2.8115,2.6993,2.7375,2.7153,2.5589,2.5688,2.626,2.6531,2.6471,2.7782,2.8234,2.8443,2.7046,2.7174,2.7015,2.6484,2.6764,2.5546,2.6368,2.6067,2.3763,2.2926,2.2427,NaN,
"IPC1","Energy","MtCO2eq","EST","ESTONIA","CH4",0.15747,0.15275,0.099877,0.078032,0.096983,0.1487,0.17052,0.17111,0.13683,0.13558,0.13646,0.1379,0.13296,0.13736,0.14417,0.13193,0.12751,0.1484,0.14919,0.14513,0.15221,0.13664,0.14213,0.14144,0.13605,0.13224,0.16209,NaN,
"IPC1","Energy","MtCO2eq","ETH","ETHIOPIA","CH4",3.486,3.633,3.801,3.969,5.0249,5.5957,5.5968,18.5425,18.7406,19.0686,19.3961,19.6595,19.9249,20.194,20.4656,7.3115,7.7759,7.7846,8.0143,8.2454,8.4775,11.3961,9.9224,9.8017,NaN,NaN,NaN,NaN,
