"sectorCode","sector","unit","ISO","countries","entity","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017",
"CAT4","Agriculture","MtCO2eq","CYP","CYPRUS","CO2",0.001815,0.0014667,0.0019177,0.0016023,0.0017035,0.0015407,0.0013779,0.0011015,0.000836,0.0009167,0.001672,0.0001665,0.0004195,0.0007311,0.0009467,0.0009665,0.001166,0.0011059,0.0005368,0.0011389,0.0007377,0.0009086,0.0005488,0.0007905,0.000407,0.0003982,0.000394,NaN,
"CAT4","Agriculture","MtCO2eq","CZE","CZECH REPUBLIC","CO2",1.2962,0.44794,0.21775,0.19691,0.19516,0.22053,0.21384,0.16066,0.2338,0.17555,0.16083,0.1829,0.16366,0.14032,0.14682,0.13868,0.16103,0.2025,0.19574,0.15,0.17324,0.19126,0.25243,0.26232,0.20857,0.35151,0.37877,NaN,
"CAT4","Agriculture","MtCO2eq","DEU","GERMANY","CO2",3.1836,2.9046,2.6038,2.3677,1.9362,2.2221,2.2249,2.32,2.521,2.6078,2.8035,2.5542,2.6372,2.4642,2.4901,2.3253,2.3129,2.4273,2.4826,2.5903,2.325,2.6356,2.5736,2.6986,2.94,3.071,2.7729,NaN,
"CAT4","Agriculture","MtCO2eq","DNK","DENMARK","CO2",0.61858,0.51164,0.40347,0.34997,0.41221,0.53708,0.41779,0.48323,0.26393,0.27378,0.26836,0.20674,0.23659,0.22865,0.15971,0.2218,0.19602,0.19402,0.23125,0.18681,0.15619,0.16505,0.19204,0.24647,0.24025,0.17745,0.2166,NaN,
"CAT4","Agriculture","MtCO2eq","ESP","SPAIN","CO2",0.49939,0.429,0.44359,0.39653,0.40437,0.33714,0.4853,0.47049,0.53155,0.56607,0.6168,0.57268,0.55142,0.55654,0.52626,0.41679,0.46196,0.45673,0.34534,0.45499,0.50095,0.45027,0.43567,0.49493,0.58643,0.50468,0.50995,NaN,
"CAT4","Agriculture","MtCO2eq","EST","ESTONIA","CO2",0.01311,0.012097,0.0030876,0.0025753,0.0028117,0.0042338,0.0042405,0.0062381,0.025311,0.0263,0.019849,0.021276,0.019109,0.017239,0.013083,0.014845,0.013004,0.013453,0.0097448,0.001422,0.0093746,0.0050626,0.0097362,0.0064715,0.01076,0.011237,0.016012,NaN,
"CAT4","Agriculture","MtCO2eq","FIN","FINLAND","CO2",0.64736,0.45755,0.29946,0.47312,0.47318,0.41027,0.47783,0.49179,0.4524,0.4536,0.35085,0.41985,0.44721,0.30294,0.27702,0.29099,0.32201,0.27724,0.32655,0.33971,0.27898,0.20211,0.20328,0.30536,0.22391,0.18185,0.26835,NaN,
"CAT4","Agriculture","MtCO2eq","FRA","FRANCE","CO2",1.7655,1.7658,1.6053,1.7564,1.7395,1.8519,1.7864,1.9545,1.9365,1.923,1.8261,1.7975,1.8005,1.8516,1.828,1.7996,1.7318,1.7565,1.7733,1.8759,1.8134,1.8667,1.9808,1.8838,1.9585,2.003,2.0138,NaN,
"CAT4","Agriculture","MtCO2eq","GBR","UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND","CO2",1.3427,1.3439,1.2461,0.83191,1.2274,1.2218,1.2743,0.56645,1.002,1.1253,0.76538,0.57152,0.74954,1.4873,1.6235,1.6118,1.5883,1.6052,1.5746,1.5063,1.4476,1.5672,1.365,1.1512,1.5054,1.271,1.2943,NaN,
"CAT4","Agriculture","MtCO2eq","GRC","GREECE","CO2",0.06041,0.05813,0.055566,0.04374,0.040748,0.045022,0.04602,0.04374,0.043883,0.041746,0.038469,0.037044,0.036046,0.035192,0.036331,0.031915,0.02992,0.033624,0.028638,0.024933,0.030347,0.025844,0.024997,0.026007,0.023643,0.023414,0.026361,NaN,
"CAT4","Agriculture","MtCO2eq","HRV","CROATIA","CO2",0.05002,0.050946,0.065512,0.052139,0.04757,0.046294,0.05244,0.068388,0.044249,0.050487,0.060866,0.092095,0.080755,0.071793,0.07594,0.085461,0.080667,0.089324,0.096603,0.076962,0.088037,0.10518,0.10123,0.074615,0.069467,0.06934,0.076184,NaN,
"CAT4","Agriculture","MtCO2eq","HUN","HUNGARY","CO2",0.38475,0.2742,0.23661,0.19544,0.1589,0.11676,0.10513,0.09531,0.096007,0.094673,0.1042,0.10818,0.11678,0.12716,0.15142,0.14226,0.14358,0.14911,0.090748,0.098048,0.10582,0.12943,0.14229,0.17401,0.16019,0.18741,0.18756,NaN,
"CAT4","Agriculture","MtCO2eq","IRL","IRELAND","CO2",0.39951,0.36097,0.30992,0.40324,0.31505,0.53428,0.52414,0.4615,0.34945,0.43085,0.40863,0.42376,0.31107,0.42286,0.27155,0.29463,0.28441,0.40012,0.29297,0.34825,0.4731,0.393,0.25072,0.53735,0.4074,0.42081,0.4614,NaN,
"CAT4","Agriculture","MtCO2eq","ISL","ICELAND","CO2",5.5e-05,5.7347e-05,5.9033e-05,5.8593e-05,5.8887e-05,6.116e-05,6.5633e-05,6.248e-05,7.568e-05,7.2087e-05,7.4213e-05,7.9479e-05,8.008e-05,8.2793e-05,8.2793e-05,7.4287e-05,7.612e-05,0.00013318,0.0001522,0.00015791,0.00012583,0.00015315,0.00016752,0.004241,0.0043753,0.0046062,0.0047224,NaN,
"CAT4","Agriculture","MtCO2eq","ITA","ITALY","CO2",0.4662,0.52067,0.5377,0.62327,0.58977,0.51344,0.44061,0.52679,0.5277,0.55291,0.52722,0.54135,0.56654,0.57121,0.58624,0.52128,0.55113,0.55262,0.51668,0.38897,0.35341,0.37617,0.56679,0.46454,0.42297,0.43843,0.53935,NaN,
"CAT4","Agriculture","MtCO2eq","JPN","JAPAN","CO2",0.60888,0.54788,0.49301,0.52352,0.34254,0.35913,0.34962,0.3715,0.37693,0.37029,0.44253,0.36768,0.40814,0.43019,0.40222,0.41056,0.38348,0.50008,0.43998,0.3901,0.40294,0.41465,0.52016,0.57777,0.5515,0.5515,0.5515,NaN,
"CAT4","Agriculture","MtCO2eq","KAZ","KAZAKHSTAN","CO2",NaN,NaN,NaN,NaN,NaN,NaN,0.14304,0.0131,6e-05,0.00017,8e-05,7e-05,6e-05,6e-05,0.00024,0.00025,0.00013,0.00015,0.00056,0.00023,0.00068,0.00247,0.00072,0.0002,0.00055,0.00027,0.00059,NaN,
"CAT4","Agriculture","MtCO2eq","LIE","LIECHTENSTEIN","CO2",5.8307e-05,5.5122e-05,5.5537e-05,5.5637e-05,5.203e-05,4.9268e-05,4.9504e-05,4.8367e-05,4.2173e-05,4.2849e-05,4.5049e-05,4.4727e-05,4.8282e-05,4.7386e-05,4.5568e-05,4.6008e-05,4.5149e-05,4.4688e-05,4.701e-05,4.4828e-05,4.2862e-05,4.949e-05,4.4014e-05,4.264e-05,4.1336e-05,4.7044e-05,4.2331e-05,NaN,
"CAT4","Agriculture","MtCO2eq","LTU","LITHUANIA","CO2",0.056301,0.062365,0.035415,0.00994,0.0098645,0.010768,0.026684,0.026767,0.02787,0.025596,0.024181,0.022768,0.028423,0.027687,0.027609,0.038461,0.026188,0.038261,0.03004,0.043127,0.022063,0.022943,0.02536,0.032541,0.065799,0.038898,0.033026,NaN,
"CAT4","Agriculture","MtCO2eq","LUX","LUXEMBOURG","CO2",0.0005896,0.0007084,0.0008272,0.000946,0.0013728,0.001122,0.00099,0.0014652,0.0020218,0.0011264,0.0018876,0.002288,0.002904,0.002816,0.00242,0.0039072,0.0030492,0.00308,0.00286,0.0040744,0.00418,0.004884,0.00506,0.005808,0.005808,0.005808,0.005808,NaN,
"CAT4","Agriculture","MtCO2eq","LVA","LATVIA","CO2",0.36484,0.22966,0.03623,0.0039332,0.0024347,0.0019122,0.0014923,0.0013215,0.003304,0.0033605,0.0060243,0.0021747,0.019536,0.026082,0.0024332,0.0029381,0.0028013,0.0063312,0.0059202,0.0083362,0.0059741,0.012227,0.015694,0.017322,0.023655,0.026148,0.030527,NaN,
"CAT4","Agriculture","MtCO2eq","NLD","NETHERLANDS, THE KINGDOM OF THE","CO2",0.18315,0.14676,0.14082,0.13431,0.095794,0.098203,0.11056,0.10999,0.10399,0.084371,0.09762,0.080005,0.084625,0.086408,0.078984,0.074739,0.081117,0.071077,0.070616,0.059716,0.059716,0.073325,0.070445,0.070445,0.070445,0.068717,0.068717,NaN,
"CAT4","Agriculture","MtCO2eq","NOR","NORWAY","CO2",0.23152,0.2012,0.1662,0.19382,0.17372,0.19386,0.18046,0.18063,0.16063,0.15906,0.13722,0.13956,0.13607,0.12395,0.11146,0.10928,0.10393,0.098654,0.095723,0.088269,0.078332,0.078262,0.080099,0.081826,0.088769,0.086711,0.08214,NaN,
"CAT4","Agriculture","MtCO2eq","NZL","NEW ZEALAND","CO2",0.39926,0.44054,0.46846,0.52245,0.58809,0.67793,0.62706,0.66241,0.7479,0.85503,0.91135,1.031,1.1719,1.1234,1.1253,1.1944,1.0387,1.1115,1.0512,1.0936,1.0698,1.1315,1.1769,1.0603,1.1027,1.1445,1.0888,NaN,
"CAT4","Agriculture","MtCO2eq","POL","POLAND","CO2",2.5934,1.8783,1.5744,1.5703,1.4919,1.8278,1.7405,1.9169,1.834,1.533,1.4289,1.4314,1.366,1.3145,1.3395,1.2919,0.97048,0.81083,0.85313,0.77613,0.79001,0.7993,0.76115,0.86821,0.86244,0.73636,1.0401,NaN,
"CAT4","Agriculture","MtCO2eq","PRT","PORTUGAL","CO2",0.03387,0.03387,0.03387,0.03387,0.03387,0.023844,0.035026,0.036924,0.02495,0.03573,0.045312,0.040533,0.028639,0.027314,0.025321,0.029813,0.043394,0.047657,0.055207,0.05292,0.034572,0.043064,0.041763,0.034225,0.04579,0.051538,0.047823,NaN,
"CAT4","Agriculture","MtCO2eq","ROU","ROMANIA","CO2",0.18251,0.079105,0.074117,0.090343,0.10943,0.097708,0.097727,0.086733,0.089219,0.073729,0.1029,0.1211,0.10597,0.12285,0.13609,0.13854,0.12966,0.11743,0.13698,0.12305,0.10722,0.09065,0.076626,0.0899,0.082147,0.094343,0.11324,NaN,
"CAT4","Agriculture","MtCO2eq","RUS","RUSSIAN FEDERATION","CO2",11.0642,10.2403,9.0619,6.6479,3.8702,2.8626,2.2459,1.6987,1.3033,1.445,1.6263,1.622,1.643,1.6693,1.736,1.7342,1.8858,1.8591,1.7688,1.6624,1.8668,1.9209,2.0164,2.0055,2.0586,2.0782,2.201,NaN,
"CAT4","Agriculture","MtCO2eq","SVK","SLOVAKIA","CO2",0.059904,0.051324,0.042744,0.034164,0.025584,0.078436,0.063336,0.11944,0.15846,0.087111,0.05577,0.086304,0.0463,0.042821,0.033662,0.029012,0.026328,0.029419,0.048105,0.040552,0.046334,0.060318,0.060857,0.068223,0.073573,0.075914,0.079418,NaN,
"CAT4","Agriculture","MtCO2eq","SVN","SLOVENIA","CO2",0.052667,0.051659,0.056685,0.054986,0.055175,0.04105,0.033695,0.026546,0.029085,0.030347,0.029083,0.028662,0.027811,0.028983,0.024583,0.025267,0.025024,0.023095,0.019635,0.02637,0.024059,0.020573,0.023344,0.022252,0.020577,0.019524,0.020597,NaN,
"CAT4","Agriculture","MtCO2eq","SWE","SWEDEN","CO2",0.17775,0.14048,0.11286,0.13444,0.1612,0.17289,0.19733,0.17837,0.13378,0.16029,0.15968,0.13996,0.13331,0.12993,0.12323,0.1165,0.089613,0.11558,0.10459,0.11454,0.1238,0.12387,0.14212,0.14256,0.12333,0.12448,0.12453,NaN,
"CAT4","Agriculture","MtCO2eq","TUR","TURKEY","CO2",0.45995,0.4362,0.45875,0.62674,0.4526,0.42592,0.53413,0.532,0.65791,0.73333,0.61747,0.52707,0.52692,0.56541,0.63218,0.61316,0.59234,0.5663,0.56484,0.59272,0.64498,0.55755,0.63977,0.8073,0.78769,0.81059,1.2953,NaN,
"CAT4","Agriculture","MtCO2eq","UKR","UKRAINE","CO2",2.8622,1.5811,1.5407,1.5003,1.469,1.4376,0.35415,0.13741,0.13775,0.1189,0.14566,0.18847,0.17069,0.24047,0.11915,0.22924,0.27731,0.32446,0.48014,0.32691,0.46219,0.51868,0.51308,0.564,0.54228,0.54234,0.59771,NaN,
"CAT4","Agriculture","MtCO2eq","USA","UNITED STATES OF AMERICA","CO2",7.0839,7.3222,6.863,6.4219,6.8244,7.0494,6.9554,6.9714,7.6676,7.4746,7.5412,7.8248,8.5488,8.2599,7.5551,7.8537,7.8751,8.2215,8.6376,7.2243,8.5615,7.9703,10.259,8.3504,8.1471,8.665,8.9607,NaN,
"CAT7","Other","MtCO2eq","CHE","SWITZERLAND","CO2",0.01096,0.01098,0.010993,0.010986,0.010989,0.010985,0.010976,0.010976,0.01005,0.011256,0.011823,0.012604,0.011766,0.012809,0.012677,0.012374,0.011399,0.012623,0.011834,0.011529,0.011292,0.012177,0.012752,0.013123,0.010499,0.011349,0.011107,NaN,
