"sectorCode","sector","unit","ISO","countries","entity","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017",
"IPCMAG","Agriculture","MtCO2eq","CHN","CHINA","N2O",233.7447,238.9435,243.2062,232.4981,243.97,279.7353,298.5081,268.4628,272.0096,283.0022,274.2158,272.7363,284.1656,281.7237,288.0046,290.78,313.9047,332.7808,361.0017,387.144,414.1687,433.0578,457.25,459.386,460.4167,466.9574,469.3207,,
"IPCMAG","Agriculture","MtCO2eq","ETH","ETHIOPIA","N2O",10.5286,10.5471,10.806,9.5588,10.4419,9.1981,9.9936,11.512,11.7338,11.7767,11.0864,11.3206,13.6635,13.0854,14.633,15.2398,16.4014,18.7002,19.2742,19.9234,20.7981,17.3391,21.0809,21.6511,22.478,22.782,23.4631,,
"IPCMAG","Agriculture","MtCO2eq","EU28","European Union (28)","N2O",233.7002,219.9475,208.0606,202.9701,200.3309,202.4364,203.2527,204.2284,202.6318,202.9646,200.7945,197.9311,194.6702,190.8455,194.3328,189.4967,187.5437,188.0856,188.5214,183.8557,183.3696,184.9256,183.9499,186.9619,191.1002,189.9651,189.8846,,
"IPCMAG","Agriculture","MtCO2eq","IND","INDIA","N2O",41.6893,42.8792,44.1094,45.1192,46.81,49.1372,51.9791,54.9943,57.6343,59.9223,59.7474,61.5539,59.5295,62.4746,65.0489,68.8726,72.6529,76.282,78.0696,79.9187,83.297,86.1369,84.8878,84.6775,85.2398,86.0942,86.87,,
"IPCMAG","Agriculture","MtCO2eq","MAR","MOROCCO","N2O",8.8744,8.6335,7.9491,7.5077,8.06,8.7238,10.6632,11.9316,13.2988,15.1277,16.275,16.4648,16.848,16.6947,17.1385,17.7547,18.5087,17.0876,17.1388,16.735,17.019,17.4069,16.058,17.3429,17.3827,18.0909,17.4076,,
"IPCMAG","Agriculture","MtCO2eq","MEX","MEXICO","N2O",28.4093,27.0872,26.9475,27.368,27.3683,26.4022,26.5425,27.3144,28.4724,28.201,28.535,28.6823,27.6273,27.9415,28.0431,27.4844,27.569,28.754,27.8388,28.1151,28.9155,28.5433,29.2366,29.4627,29.9593,31.5078,31.9586,,
"IPCMAG","Agriculture","MtCO2eq","PER","PERU","N2O",12.4272,12.0454,11.9152,12.3921,12.9084,12.7814,12.1911,11.5173,11.0939,10.7732,10.395,10.5379,10.9819,11.2319,11.3972,11.5791,11.9429,12.647,12.5246,13.3784,13.181,13.3878,13.341,13.5247,13.2497,13.6206,13.5867,,
"IPCMAG","Agriculture","MtCO2eq","SAU","SAUDI ARABIA","N2O",9.5049,9.9729,10.3048,9.7985,9.1927,8.3875,8.7971,10.0714,10.4031,9.9739,10.4476,10.6911,8.9793,11.0701,10.9139,10.2757,10.5371,10.8188,9.3115,8.1183,8.8015,10.9152,10.013,10.205,11.167,11.1603,11.0403,,
"IPCMAG","Agriculture","MtCO2eq","VNM","VIET NAM","N2O",7.4357,8.3452,8.2567,8.5873,10.1327,10.6484,12.2872,12.5808,14.7048,15.6312,16.9326,16.2054,17.869,19.6542,22.9861,20.6949,21.4626,23.7649,23.5379,29.3203,26.6246,23.62,24.6076,27.6645,25.5602,28.1606,28.3616,,
"IPCMLULUCF","LULUCF","MtCO2eq","ARG","ARGENTINA","N2O",0.05237,0.053554,0.054739,0.055923,0.057107,0.078348,0.099589,0.12083,0.1003,0.079774,0.059247,0.11687,0.1745,0.23212,0.28975,0.34737,0.405,0.46262,0.52025,0.57787,0.6355,0.55955,0.4836,1.2845,0.6546,1.2167,1.0402,,
