sector gas,ABW,AFG,AGO,AIA,ALA,ALB,AND,ANT,ARE,ARG,ARM,ASM,ATA,ATF,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BVT,BWA,CAF,CAN,CCK,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CXR,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GGY,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HMD,HND,HRV,HTI,HUN,IDN,IMN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PCN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SGS,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,UMI,URY,USA,UZB,VAT,VCT,VEN,VGB,VIR,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE,EU28
ENERGY CO2,NonUNFCCC,Covered,Covered,NonUNFCCC,NonUNFCCC,Covered,Covered,NonUNFCCC,NoInformation,Covered,Covered,NoNDC_NoINDC,NonUNFCCC,NonUNFCCC,Covered,Covered,See EU,Covered,Covered,See EU,Covered,NonUNFCCC,Covered,Covered,See EU,Covered,Covered,Covered,NonUNFCCC,NotCovered,Covered,NonUNFCCC,NoInformation,Covered,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,NonUNFCCC,NonUNFCCC,NonUNFCCC,See EU,See EU,See EU,Covered,Covered,See EU,Covered,Covered,Covered,Covered,Covered,NonUNFCCC,See EU,See EU,Covered,See EU,Covered,NonUNFCCC,See EU,NonUNFCCC,Covered,Covered,See EU,Covered,NonUNFCCC,Covered,NonUNFCCC,Covered,NonUNFCCC,Covered,Covered,Covered,See EU,Covered,NonUNFCCC,Covered,NonUNFCCC,NonUNFCCC,Covered,NonUNFCCC,NonUNFCCC,Covered,See EU,Covered,See EU,Covered,NonUNFCCC,Covered,NonUNFCCC,See EU,Covered,Covered,Covered,Covered,See EU,Covered,NonUNFCCC,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,NoNDC_NoINDC,Covered,Covered,Covered,Covered,See EU,See EU,See EU,NonUNFCCC,NonUNFCCC,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,See EU,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,NonUNFCCC,NonUNFCCC,Covered,Covered,Covered,NonUNFCCC,Covered,NonUNFCCC,Covered,NonUNFCCC,Covered,Covered,Covered,See EU,Covered,Covered,Covered,Covered,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,Covered,Covered,See EU,NonUNFCCC,Covered,See EU,Covered,Covered,NonUNFCCC,Covered,NonUNFCCC,See EU,Covered,Covered,Covered,Covered,Covered,Covered,NonUNFCCC,NonUNFCCC,NonUNFCCC,Covered,Covered,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,Covered,Covered,See EU,See EU,See EU,Covered,NonUNFCCC,Covered,NoNDC_NoINDC,NonUNFCCC,Covered,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,Covered,Covered,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,Covered,NoNDC_NoINDC,Covered,Covered,NonUNFCCC,NonUNFCCC,Covered,Covered,NonUNFCCC,NonUNFCCC,Covered,Covered,Covered,Covered,Covered
ENERGY CH4,NonUNFCCC,Covered,Covered,NonUNFCCC,NonUNFCCC,NotCovered,Covered,NonUNFCCC,NoInformation,Covered,Covered,NoNDC_NoINDC,NonUNFCCC,NonUNFCCC,Covered,Covered,See EU,Covered,Covered,See EU,Covered,NonUNFCCC,Covered,Covered,See EU,Covered,Covered,Covered,NonUNFCCC,NotCovered,Covered,NonUNFCCC,NoInformation,Covered,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,NotCovered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,NonUNFCCC,NonUNFCCC,NonUNFCCC,See EU,See EU,See EU,Covered,Covered,See EU,Covered,Covered,Covered,Covered,Covered,NonUNFCCC,See EU,See EU,Covered,See EU,NotCovered,NonUNFCCC,See EU,NonUNFCCC,NotCovered,Covered,See EU,Covered,NonUNFCCC,Covered,NonUNFCCC,Covered,NonUNFCCC,Covered,Covered,Covered,See EU,Covered,NonUNFCCC,Covered,NonUNFCCC,NonUNFCCC,NotCovered,NonUNFCCC,NonUNFCCC,Covered,See EU,Covered,See EU,Covered,NonUNFCCC,Covered,NonUNFCCC,See EU,Covered,Covered,Covered,Covered,See EU,Covered,NonUNFCCC,Covered,Covered,Covered,Covered,Covered,Covered,NotCovered,NotCovered,Covered,Covered,Covered,Covered,Covered,NoNDC_NoINDC,Covered,Covered,Covered,Covered,See EU,See EU,See EU,NonUNFCCC,NonUNFCCC,Covered,Covered,Covered,Covered,Covered,Covered,Covered,NotCovered,Covered,See EU,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,NonUNFCCC,NonUNFCCC,NotCovered,Covered,Covered,NonUNFCCC,Covered,NonUNFCCC,Covered,NonUNFCCC,Covered,NotCovered,Covered,See EU,Covered,Covered,NotCovered,Covered,Covered,Covered,NotCovered,NonUNFCCC,Covered,Covered,Covered,Covered,See EU,NonUNFCCC,Covered,See EU,Covered,Covered,NonUNFCCC,Covered,NonUNFCCC,See EU,Covered,Covered,Covered,Covered,Covered,Covered,NonUNFCCC,NonUNFCCC,NonUNFCCC,NotCovered,Covered,Covered,Covered,Covered,NonUNFCCC,Covered,NotCovered,Covered,Covered,See EU,See EU,See EU,Covered,NonUNFCCC,Covered,NoNDC_NoINDC,NonUNFCCC,Covered,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,Covered,Covered,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,Covered,NoNDC_NoINDC,Covered,Covered,NonUNFCCC,NonUNFCCC,Covered,NotCovered,NonUNFCCC,NonUNFCCC,Covered,Covered,Covered,Covered,Covered
ENERGY N2O,NonUNFCCC,Covered,Covered,NonUNFCCC,NonUNFCCC,NotCovered,Covered,NonUNFCCC,NoInformation,Covered,Covered,NoNDC_NoINDC,NonUNFCCC,NonUNFCCC,Covered,Covered,See EU,Covered,Covered,See EU,Covered,NonUNFCCC,Covered,Covered,See EU,Covered,Covered,Covered,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NoInformation,Covered,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,NotCovered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,Covered,NonUNFCCC,NonUNFCCC,NonUNFCCC,See EU,See EU,See EU,Covered,Covered,See EU,Covered,Covered,Covered,Covered,Covered,NonUNFCCC,See EU,See EU,Covered,See EU,NotCovered,NonUNFCCC,See EU,NonUNFCCC,NotCovered,Covered,See EU,Covered,NonUNFCCC,Covered,NonUNFCCC,Covered,NonUNFCCC,Covered,Covered,Covered,See EU,NotCovered,NonUNFCCC,Covered,NonUNFCCC,NonUNFCCC,NotCovered,NonUNFCCC,NonUNFCCC,Covered,See EU,Covered,See EU,Covered,NonUNFCCC,Covered,NonUNFCCC,See EU,Covered,Covered,Covered,Covered,See EU,Covered,NonUNFCCC,Covered,Covered,Covered,Covered,Covered,Covered,NotCovered,NotCovered,Covered,Covered,Covered,Covered,Covered,NoNDC_NoINDC,Covered,Covered,Covered,Covered,See EU,See EU,See EU,NonUNFCCC,NonUNFCCC,Covered,Covered,Covered,Covered,NotCovered,Covered,Covered,NotCovered,Covered,See EU,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,NonUNFCCC,NonUNFCCC,NotCovered,Covered,Covered,NonUNFCCC,Covered,NonUNFCCC,Covered,NonUNFCCC,Covered,NotCovered,Covered,See EU,Covered,Covered,NotCovered,Covered,Covered,Covered,NotCovered,NonUNFCCC,Covered,Covered,NotCovered,NotCovered,See EU,NonUNFCCC,Covered,See EU,Covered,Covered,NonUNFCCC,Covered,NonUNFCCC,See EU,Covered,Covered,Covered,Covered,Covered,Covered,NonUNFCCC,NonUNFCCC,NonUNFCCC,NotCovered,Covered,Covered,Covered,Covered,NonUNFCCC,Covered,NotCovered,Covered,Covered,See EU,See EU,See EU,Covered,NonUNFCCC,NotCovered,NoNDC_NoINDC,NonUNFCCC,Covered,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,Covered,Covered,Covered,Covered,NotCovered,NonUNFCCC,Covered,Covered,Covered,NonUNFCCC,Covered,Covered,Covered,NoNDC_NoINDC,Covered,Covered,NonUNFCCC,NonUNFCCC,Covered,NotCovered,NonUNFCCC,NonUNFCCC,Covered,Covered,Covered,Covered,Covered
ENERGY HFCS,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NoInformation,Covered,Covered,NoNDC_NoINDC,NonUNFCCC,NonUNFCCC,Covered,Covered,See EU,Covered,NotCovered,See EU,NotCovered,NonUNFCCC,NotCovered,Covered,See EU,Covered,NotCovered,NotCovered,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NoInformation,Covered,Covered,Covered,NotCovered,NonUNFCCC,NotCovered,NotCovered,Covered,NonUNFCCC,Covered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,Covered,NotCovered,NotCovered,Covered,NotCovered,NonUNFCCC,NonUNFCCC,NonUNFCCC,See EU,See EU,See EU,NotCovered,Covered,See EU,NotCovered,NotCovered,NotCovered,Covered,NotCovered,NonUNFCCC,See EU,See EU,NotCovered,See EU,NotCovered,NonUNFCCC,See EU,NonUNFCCC,NotCovered,NotCovered,See EU,Covered,NonUNFCCC,Covered,NonUNFCCC,Covered,NonUNFCCC,Covered,NotCovered,Covered,See EU,NotCovered,NonUNFCCC,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,See EU,NotCovered,See EU,NotCovered,NonUNFCCC,Covered,NonUNFCCC,See EU,Covered,NotCovered,Covered,Covered,See EU,NotCovered,NonUNFCCC,Covered,Covered,Covered,NotCovered,Covered,NotCovered,NotCovered,NotCovered,Covered,Covered,Covered,NotCovered,NotCovered,NoNDC_NoINDC,NotCovered,Covered,Covered,NotCovered,See EU,See EU,See EU,NonUNFCCC,NonUNFCCC,NotCovered,Covered,Covered,NotCovered,NotCovered,Covered,Covered,NotCovered,NotCovered,See EU,Covered,Covered,NotCovered,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,NotCovered,NotCovered,NonUNFCCC,NotCovered,NonUNFCCC,NotCovered,NonUNFCCC,NotCovered,NotCovered,NotCovered,See EU,Covered,Covered,NotCovered,Covered,Covered,Covered,NotCovered,NonUNFCCC,NotCovered,Covered,NotCovered,NotCovered,See EU,NonUNFCCC,Covered,See EU,Covered,NotCovered,NonUNFCCC,Covered,NonUNFCCC,See EU,Covered,NotCovered,Covered,NotCovered,NotCovered,Covered,NonUNFCCC,NonUNFCCC,NonUNFCCC,NotCovered,NotCovered,Covered,Covered,Covered,NonUNFCCC,Covered,NotCovered,NotCovered,NotCovered,See EU,See EU,See EU,Covered,NonUNFCCC,NotCovered,NoNDC_NoINDC,NonUNFCCC,NotCovered,NotCovered,Covered,NotCovered,NonUNFCCC,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,NotCovered,NonUNFCCC,Covered,Covered,Covered,NonUNFCCC,NotCovered,Covered,NotCovered,NoNDC_NoINDC,Covered,Covered,NonUNFCCC,NonUNFCCC,Covered,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,Covered,NotCovered,NotCovered,Covered
ENERGY PFCS,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NoInformation,Covered,NotCovered,NoNDC_NoINDC,NonUNFCCC,NonUNFCCC,NotCovered,Covered,See EU,NotCovered,NotCovered,See EU,NotCovered,NonUNFCCC,NotCovered,Covered,See EU,Covered,NotCovered,NotCovered,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NoInformation,Covered,NotCovered,Covered,NotCovered,NonUNFCCC,NotCovered,NotCovered,Covered,NonUNFCCC,Covered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,Covered,NotCovered,NotCovered,Covered,NotCovered,NonUNFCCC,NonUNFCCC,NonUNFCCC,See EU,See EU,See EU,NotCovered,NotCovered,See EU,NotCovered,NotCovered,NotCovered,Covered,NotCovered,NonUNFCCC,See EU,See EU,NotCovered,See EU,NotCovered,NonUNFCCC,See EU,NonUNFCCC,NotCovered,NotCovered,See EU,Covered,NonUNFCCC,NotCovered,NonUNFCCC,Covered,NonUNFCCC,Covered,NotCovered,Covered,See EU,NotCovered,NonUNFCCC,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,See EU,NotCovered,See EU,NotCovered,NonUNFCCC,Covered,NonUNFCCC,See EU,Covered,NotCovered,Covered,Covered,See EU,NotCovered,NonUNFCCC,Covered,Covered,Covered,NotCovered,Covered,NotCovered,NotCovered,NotCovered,Covered,Covered,Covered,NotCovered,NotCovered,NoNDC_NoINDC,NotCovered,Covered,Covered,NotCovered,See EU,See EU,See EU,NonUNFCCC,NonUNFCCC,NotCovered,Covered,Covered,NotCovered,NotCovered,Covered,Covered,NotCovered,NotCovered,See EU,Covered,Covered,NotCovered,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,NotCovered,NotCovered,NonUNFCCC,NotCovered,NonUNFCCC,NotCovered,NonUNFCCC,NotCovered,NotCovered,NotCovered,See EU,Covered,Covered,NotCovered,Covered,Covered,Covered,NotCovered,NonUNFCCC,NotCovered,Covered,NotCovered,NotCovered,See EU,NonUNFCCC,Covered,See EU,Covered,NotCovered,NonUNFCCC,Covered,NonUNFCCC,See EU,Covered,NotCovered,Covered,NotCovered,NotCovered,Covered,NonUNFCCC,NonUNFCCC,NonUNFCCC,NotCovered,NotCovered,Covered,Covered,Covered,NonUNFCCC,Covered,NotCovered,NotCovered,NotCovered,See EU,See EU,See EU,Covered,NonUNFCCC,NotCovered,NoNDC_NoINDC,NonUNFCCC,NotCovered,NotCovered,Covered,NotCovered,NonUNFCCC,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,NotCovered,NonUNFCCC,Covered,Covered,Covered,NonUNFCCC,NotCovered,Covered,NotCovered,NoNDC_NoINDC,NotCovered,Covered,NonUNFCCC,NonUNFCCC,Covered,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,Covered,NotCovered,NotCovered,Covered
ENERGY SF6,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,Covered,NonUNFCCC,NoInformation,Covered,NotCovered,NoNDC_NoINDC,NonUNFCCC,NonUNFCCC,NotCovered,Covered,See EU,NotCovered,NotCovered,See EU,NotCovered,NonUNFCCC,NotCovered,Covered,See EU,Covered,NotCovered,NotCovered,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NoInformation,Covered,Covered,Covered,NotCovered,NonUNFCCC,NotCovered,NotCovered,Covered,NonUNFCCC,Covered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,Covered,NotCovered,NotCovered,Covered,NotCovered,NonUNFCCC,NonUNFCCC,NonUNFCCC,See EU,See EU,See EU,NotCovered,NotCovered,See EU,NotCovered,NotCovered,NotCovered,Covered,NotCovered,NonUNFCCC,See EU,See EU,NotCovered,See EU,NotCovered,NonUNFCCC,See EU,NonUNFCCC,NotCovered,NotCovered,See EU,Covered,NonUNFCCC,NotCovered,NonUNFCCC,Covered,NonUNFCCC,Covered,NotCovered,Covered,See EU,NotCovered,NonUNFCCC,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,See EU,NotCovered,See EU,NotCovered,NonUNFCCC,Covered,NonUNFCCC,See EU,Covered,NotCovered,Covered,Covered,See EU,NotCovered,NonUNFCCC,Covered,Covered,Covered,NotCovered,Covered,NotCovered,NotCovered,NotCovered,Covered,Covered,Covered,NotCovered,NotCovered,NoNDC_NoINDC,NotCovered,Covered,Covered,NotCovered,See EU,See EU,See EU,NonUNFCCC,NonUNFCCC,NotCovered,Covered,Covered,NotCovered,NotCovered,Covered,Covered,NotCovered,NotCovered,See EU,Covered,Covered,NotCovered,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,NotCovered,NotCovered,NonUNFCCC,NotCovered,NonUNFCCC,NotCovered,NonUNFCCC,NotCovered,NotCovered,NotCovered,See EU,Covered,Covered,NotCovered,Covered,NotCovered,Covered,NotCovered,NonUNFCCC,NotCovered,Covered,NotCovered,NotCovered,See EU,NonUNFCCC,Covered,See EU,Covered,NotCovered,NonUNFCCC,Covered,NonUNFCCC,See EU,Covered,NotCovered,Covered,NotCovered,NotCovered,Covered,NonUNFCCC,NonUNFCCC,NonUNFCCC,NotCovered,NotCovered,Covered,Covered,Covered,NonUNFCCC,Covered,NotCovered,NotCovered,NotCovered,See EU,See EU,See EU,Covered,NonUNFCCC,NotCovered,NoNDC_NoINDC,NonUNFCCC,NotCovered,NotCovered,Covered,NotCovered,NonUNFCCC,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,NotCovered,NonUNFCCC,Covered,Covered,Covered,NonUNFCCC,NotCovered,Covered,NotCovered,NoNDC_NoINDC,NotCovered,Covered,NonUNFCCC,NonUNFCCC,Covered,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,Covered,NotCovered,NotCovered,Covered
ENERGY NF3,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NoInformation,NotCovered,NotCovered,NoNDC_NoINDC,NonUNFCCC,NonUNFCCC,NotCovered,Covered,See EU,NotCovered,NotCovered,See EU,NotCovered,NonUNFCCC,NotCovered,NotCovered,See EU,Covered,NotCovered,NotCovered,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NoInformation,NotCovered,NotCovered,Covered,NotCovered,NonUNFCCC,NotCovered,NotCovered,Covered,NonUNFCCC,Covered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,NonUNFCCC,NonUNFCCC,NonUNFCCC,See EU,See EU,See EU,NotCovered,NotCovered,See EU,NotCovered,NotCovered,NotCovered,Covered,NotCovered,NonUNFCCC,See EU,See EU,NotCovered,See EU,NotCovered,NonUNFCCC,See EU,NonUNFCCC,NotCovered,NotCovered,See EU,NotCovered,NonUNFCCC,NotCovered,NonUNFCCC,Covered,NonUNFCCC,Covered,NotCovered,Covered,See EU,NotCovered,NonUNFCCC,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,See EU,NotCovered,See EU,NotCovered,NonUNFCCC,Covered,NonUNFCCC,See EU,Covered,NotCovered,Covered,NotCovered,See EU,NotCovered,NonUNFCCC,NotCovered,Covered,NotCovered,NotCovered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,Covered,NotCovered,NotCovered,NoNDC_NoINDC,NotCovered,Covered,Covered,NotCovered,See EU,See EU,See EU,NonUNFCCC,NonUNFCCC,NotCovered,Covered,Covered,NotCovered,NotCovered,NotCovered,Covered,NotCovered,NotCovered,See EU,Covered,Covered,NotCovered,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,NotCovered,NotCovered,NonUNFCCC,NotCovered,NonUNFCCC,NotCovered,NonUNFCCC,NotCovered,NotCovered,NotCovered,See EU,Covered,Covered,NotCovered,Covered,NotCovered,Covered,NotCovered,NonUNFCCC,NotCovered,Covered,NotCovered,NotCovered,See EU,NonUNFCCC,NotCovered,See EU,Covered,NotCovered,NonUNFCCC,Covered,NonUNFCCC,See EU,Covered,NotCovered,Covered,NotCovered,NotCovered,NotCovered,NonUNFCCC,NonUNFCCC,NonUNFCCC,NotCovered,NotCovered,Covered,Covered,Covered,NonUNFCCC,NotCovered,NotCovered,NotCovered,NotCovered,See EU,See EU,See EU,NotCovered,NonUNFCCC,NotCovered,NoNDC_NoINDC,NonUNFCCC,NotCovered,NotCovered,NotCovered,NotCovered,NonUNFCCC,NotCovered,NotCovered,NotCovered,NotCovered,NotCovered,Covered,NotCovered,NonUNFCCC,Covered,Covered,Covered,NonUNFCCC,NotCovered,Covered,NotCovered,NoNDC_NoINDC,NotCovered,Covered,NonUNFCCC,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,NotCovered,NotCovered,NotCovered,Covered
IPPU CO2,NonUNFCCC,Covered,NotCovered,NonUNFCCC,NonUNFCCC,Covered,NotCovered,NonUNFCCC,NoInformation,Covered,Covered,NoNDC_NoINDC,NonUNFCCC,NonUNFCCC,NotCovered,Covered,See EU,NotCovered,NotCovered,See EU,NotCovered,NonUNFCCC,NotCovered,NotCovered,See EU,NotCovered,NotCovered,Covered,NonUNFCCC,Covered,NotCovered,NonUNFCCC,NoInformation,Covered,Covered,NotCovered,Covered,NonUNFCCC,NotCovered,Covered,Covered,NonUNFCCC,Covered,Covered,Covered,NotCovered,NotCovered,NotCovered,Covered,NotCovered,Covered,NotCovered,NotCovered,NotCovered,NotCovered,NonUNFCCC,NonUNFCCC,NonUNFCCC,See EU,See EU,See EU,Covered,Covered,See EU,Covered,Covered,NotCovered,Covered,Covered,NonUNFCCC,See EU,See EU,Covered,See EU,NotCovered,NonUNFCCC,See EU,NonUNFCCC,NotCovered,Covered,See EU,Covered,NonUNFCCC,Covered,NonUNFCCC,NotCovered,NonUNFCCC,Covered,NotCovered,Covered,See EU,NotCovered,NonUNFCCC,Covered,NonUNFCCC,NonUNFCCC,NotCovered,NonUNFCCC,NonUNFCCC,Covered,See EU,NotCovered,See EU,Covered,NonUNFCCC,Covered,NonUNFCCC,See EU,Covered,Covered,Covered,Covered,See EU,NotCovered,NonUNFCCC,Covered,Covered,NotCovered,Covered,Covered,Covered,NotCovered,Covered,Covered,NotCovered,NotCovered,Covered,NotCovered,NoNDC_NoINDC,NotCovered,Covered,Covered,Covered,See EU,See EU,See EU,NonUNFCCC,NonUNFCCC,Covered,Covered,Covered,NotCovered,NotCovered,Covered,Covered,NotCovered,NotCovered,See EU,NotCovered,Covered,Covered,NonUNFCCC,NotCovered,Covered,NonUNFCCC,NonUNFCCC,Covered,Covered,Covered,NonUNFCCC,Covered,NonUNFCCC,NotCovered,NonUNFCCC,Covered,NotCovered,NotCovered,See EU,Covered,Covered,NotCovered,Covered,Covered,Covered,NotCovered,NonUNFCCC,Covered,Covered,NotCovered,NotCovered,See EU,NonUNFCCC,Covered,See EU,Covered,Covered,NonUNFCCC,NotCovered,NonUNFCCC,See EU,Covered,Covered,NotCovered,NotCovered,Covered,Covered,NonUNFCCC,NonUNFCCC,NonUNFCCC,NotCovered,Covered,NotCovered,Covered,NotCovered,NonUNFCCC,Covered,NotCovered,Covered,NotCovered,See EU,See EU,See EU,Covered,NonUNFCCC,NotCovered,NoNDC_NoINDC,NonUNFCCC,NotCovered,NotCovered,Covered,Covered,NonUNFCCC,Covered,NotCovered,NotCovered,Covered,Covered,Covered,NotCovered,NonUNFCCC,NotCovered,NotCovered,Covered,NonUNFCCC,Covered,Covered,NotCovered,NoNDC_NoINDC,Covered,Covered,NonUNFCCC,NonUNFCCC,NotCovered,NotCovered,NonUNFCCC,NonUNFCCC,NotCovered,Covered,NotCovered,NotCovered,Covered
