"sectorCode","sector","unit","ISO","countries","entity","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017",
"IPC1","Energy","MtCO2eq","BFA","BURKINA FASO","CH4",0.86565,0.88618,0.93304,0.95464,0.97678,0.95134,0.96769,1.0366,1.0631,0.75944,0.7663,0.87412,0.76088,0.78864,1.1895,1.5437,1.7752,2.0515,2.3395,2.4065,2.4891,2.5547,2.5726,NaN,NaN,NaN,NaN,,
"IPC1","Energy","MtCO2eq","BGD","BANGLADESH","CH4",0.043181,0.043766,0.044513,0.045137,0.045909,0.10406,0.15999,0.20813,0.26123,0.31789,0.37656,0.45357,0.47937,0.51328,0.54751,0.59115,0.6869,0.74211,0.85417,0.94244,0.96755,0.96447,1.0395,NaN,NaN,NaN,NaN,,
"IPC1","Energy","MtCO2eq","BGR","BULGARIA, THE REPUBLIC OF","CH4",2.2746,1.9208,2.0933,2.0942,1.9356,1.9971,1.9888,1.7681,1.5797,1.3125,1.3996,1.316,1.3614,1.4579,1.1161,1.1566,1.0832,1.1899,1.2062,1.1411,1.2278,1.4651,1.3444,1.1985,1.1922,1.2647,1.1487,,
"IPC1","Energy","MtCO2eq","BHR","BAHRAIN","CH4",1.6143,1.4525,1.6051,1.7309,1.7321,1.7389,1.8131,1.8786,1.9915,2.0167,2.0611,2.1227,2.208,2.2721,2.7967,3.1126,3.2577,3.3863,3.5947,3.6153,3.7407,3.76,3.7395,NaN,NaN,NaN,NaN,,
"IPC1","Energy","MtCO2eq","BHS","BAHAMAS","CH4",0.027707,0.026338,0.023531,0.022741,0.023926,0.026361,0.030738,0.029931,0.028427,0.027613,0.031062,0.030218,0.030027,0.032162,0.033614,0.033199,0.036358,0.035745,0.034758,0.030602,0.025116,0.040588,0.040611,NaN,NaN,NaN,NaN,,
"IPC1","Energy","MtCO2eq","BIH","BOSNIA AND HERZEGOVINA","CH4",1.6636,1.6047,1.5766,1.5134,1.4744,1.4337,1.4094,1.3848,1.3588,1.3212,1.2905,1.2704,1.2315,1.1911,1.1509,1.1093,1.0674,1.026,0.98533,0.94925,0.90876,0.86785,0.82652,0.756,0.63,NaN,NaN,,
"IPC1","Energy","MtCO2eq","BLR","BELARUS","CH4",0.93022,0.87084,0.94473,0.89414,0.85545,0.82676,0.90638,0.95043,0.9077,0.85428,0.93619,0.92264,0.93597,0.96439,1.0129,0.95894,1.0291,1.1883,1.0904,0.95393,1.0374,0.97041,0.9865,0.97978,0.97556,0.94407,0.92592,,
"IPC1","Energy","MtCO2eq","BLZ","BELIZE","CH4",0.0072539,0.0079956,0.007908,0.007702,0.007569,0.0077384,0.0078259,0.010281,0.010339,0.010482,0.012289,0.014595,0.014314,0.013864,0.014233,0.014606,0.015168,0.014467,0.013967,0.013266,0.012205,0.015526,0.015496,NaN,NaN,NaN,NaN,,
"IPC1","Energy","MtCO2eq","BOL","BOLIVIA, THE PLURINATIONAL STATE OF","CH4",0.95109,1.1409,1.365,2.1171,2.0051,1.0998,0.97441,1.492,1.1288,0.99719,0.85344,0.78147,0.89193,1.0139,1.2526,1.4058,1.4348,1.493,1.6647,1.5571,1.7675,1.9547,2.1422,NaN,NaN,NaN,NaN,,
"IPC1","Energy","MtCO2eq","BRA","BRAZIL","CH4",11.4618,11.5185,11.2455,10.4832,10.3887,9.9456,9.7503,10.0737,10.2501,10.4706,10.7478,11.4009,12.0099,11.9427,12.7092,14.3808,13.6059,13.3266,13.4274,14.4123,13.6411,13.399,13.6333,NaN,NaN,NaN,NaN,,
