variable,unit,GWP,category,categoryCode,categorySet,countryISO,countryName,source,scenario,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
GDP,2005USD,n/a,Economy,ECO,misc,AUS,Australia,WDI2017P,HISTORY,1.983e+11,2.033e+11,2.059e+11,2.187e+11,2.34e+11,2.48e+11,2.539e+11,2.698e+11,2.836e+11,3.036e+11,3.253e+11,3.384e+11,3.516e+11,3.608e+11,3.755e+11,3.806e+11,3.904e+11,4.045e+11,4.081e+11,4.247e+11,4.376e+11,4.523e+11,4.673e+11,4.569e+11,4.781e+11,5.032e+11,5.238e+11,5.373e+11,5.683e+11,5.903e+11,6.112e+11,6.088e+11,6.113e+11,6.361e+11,6.618e+11,6.874e+11,7.146e+11,7.428e+11,7.758e+11,8.146e+11,8.461e+11,8.624e+11,8.957e+11,9.232e+11,9.615e+11,9.923e+11,1.022e+12,1.06e+12,1.1e+12,1.12e+12,1.142e+12,1.169e+12,1.212e+12,1.241e+12,1.273e+12,1.301e+12
GDP,2005USD,n/a,Economy,ECO,misc,AUT,Austria,WDI2017P,HISTORY,9.224e+10,9.735e+10,9.992e+10,1.041e+11,1.104e+11,1.143e+11,1.207e+11,1.244e+11,1.299e+11,1.381e+11,1.457e+11,1.532e+11,1.627e+11,1.706e+11,1.774e+11,1.767e+11,1.848e+11,1.942e+11,1.938e+11,2.042e+11,2.077e+11,2.074e+11,2.116e+11,2.179e+11,2.18e+11,2.234e+11,2.286e+11,2.317e+11,2.393e+11,2.486e+11,2.594e+11,2.684e+11,2.74e+11,2.754e+11,2.82e+11,2.896e+11,2.965e+11,3.03e+11,3.138e+11,3.251e+11,3.36e+11,3.406e+11,3.462e+11,3.488e+11,3.583e+11,3.659e+11,3.782e+11,3.919e+11,3.98e+11,3.829e+11,3.902e+11,4.012e+11,4.042e+11,4.047e+11,4.073e+11,4.112e+11
GDP,2005USD,n/a,Economy,ECO,misc,AZE,Azerbaijan,WDI2017P,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.233e+10,2.217e+10,1.716e+10,1.32e+10,1.06e+10,9.346e+09,9.467e+09,1.002e+10,1.102e+10,1.183e+10,1.315e+10,1.445e+10,1.598e+10,1.777e+10,1.958e+10,2.475e+10,3.329e+10,4.163e+10,4.611e+10,5.045e+10,5.29e+10,5.294e+10,5.41e+10,5.724e+10,5.838e+10,5.903e+10
GDP,2005USD,n/a,Economy,ECO,misc,BDI,Burundi,WDI2017P,HISTORY,5.966e+08,5.146e+08,5.612e+08,5.844e+08,6.211e+08,6.457e+08,6.755e+08,7.689e+08,7.666e+08,7.554e+08,9.165e+08,9.417e+08,8.814e+08,9.421e+08,9.353e+08,9.418e+08,1.017e+09,1.133e+09,1.123e+09,1.141e+09,1.153e+09,1.293e+09,1.279e+09,1.327e+09,1.329e+09,1.485e+09,1.534e+09,1.618e+09,1.699e+09,1.722e+09,1.783e+09,1.872e+09,1.89e+09,1.773e+09,1.705e+09,1.57e+09,1.444e+09,1.421e+09,1.489e+09,1.474e+09,1.461e+09,1.491e+09,1.557e+09,1.538e+09,1.613e+09,1.627e+09,1.715e+09,1.797e+09,1.887e+09,1.953e+09,2.027e+09,2.112e+09,2.197e+09,2.298e+09,2.405e+09,2.311e+09
GDP,2005USD,n/a,Economy,ECO,misc,BEL,Belgium,WDI2017P,HISTORY,1.206e+11,1.266e+11,1.332e+11,1.39e+11,1.486e+11,1.539e+11,1.588e+11,1.649e+11,1.718e+11,1.832e+11,1.941e+11,2.019e+11,2.126e+11,2.261e+11,2.365e+11,2.318e+11,2.449e+11,2.464e+11,2.534e+11,2.594e+11,2.709e+11,2.702e+11,2.718e+11,2.726e+11,2.793e+11,2.839e+11,2.891e+11,2.958e+11,3.098e+11,3.205e+11,3.306e+11,3.366e+11,3.418e+11,3.385e+11,3.494e+11,3.577e+11,3.634e+11,3.769e+11,3.844e+11,3.981e+11,4.125e+11,4.159e+11,4.233e+11,4.266e+11,4.421e+11,4.513e+11,4.626e+11,4.783e+11,4.819e+11,4.709e+11,4.836e+11,4.923e+11,4.929e+11,4.926e+11,5.008e+11,5.083e+11
GDP,2005USD,n/a,Economy,ECO,misc,BEN,Benin,WDI2017P,HISTORY,1.265e+09,1.305e+09,1.26e+09,1.32e+09,1.408e+09,1.482e+09,1.535e+09,1.552e+09,1.612e+09,1.658e+09,1.693e+09,1.667e+09,1.775e+09,1.84e+09,1.902e+09,1.809e+09,1.825e+09,1.916e+09,1.94e+09,2.066e+09,2.207e+09,2.426e+09,2.48e+09,2.373e+09,2.561e+09,2.754e+09,2.813e+09,2.771e+09,2.866e+09,2.784e+09,3.034e+09,3.162e+09,3.255e+09,3.445e+09,3.515e+09,3.727e+09,3.889e+09,4.112e+09,4.274e+09,4.503e+09,4.767e+09,5.021e+09,5.254e+09,5.435e+09,5.676e+09,5.773e+09,6.001e+09,6.36e+09,6.671e+09,6.826e+09,6.97e+09,7.177e+09,7.522e+09,8.063e+09,8.576e+09,8.755e+09
GDP,2005USD,n/a,Economy,ECO,misc,BFA,Burkina faso,WDI2017P,HISTORY,1.155e+09,1.201e+09,1.275e+09,1.259e+09,1.287e+09,1.336e+09,1.343e+09,1.462e+09,1.507e+09,1.537e+09,1.539e+09,1.561e+09,1.597e+09,1.604e+09,1.737e+09,1.789e+09,1.942e+09,1.949e+09,2.038e+09,2.113e+09,2.13e+09,2.221e+09,2.433e+09,2.441e+09,2.398e+09,2.602e+09,2.809e+09,2.803e+09,2.965e+09,3.029e+09,3.011e+09,3.284e+09,3.291e+09,3.405e+09,3.45e+09,3.647e+09,4.049e+09,4.305e+09,4.619e+09,4.958e+09,5.052e+09,5.386e+09,5.62e+09,6.059e+09,6.33e+09,6.878e+09,7.308e+09,7.609e+09,8.05e+09,8.289e+09,8.989e+09,9.584e+09,1.02e+10,1.079e+10,1.122e+10,1.167e+10
GDP,2005USD,n/a,Economy,ECO,misc,BGD,Bangladesh,WDI2017P,HISTORY,1.786e+10,1.894e+10,1.998e+10,1.989e+10,2.206e+10,2.242e+10,2.299e+10,2.256e+10,2.47e+10,2.501e+10,2.641e+10,2.496e+10,2.148e+10,2.219e+10,2.432e+10,2.332e+10,2.464e+10,2.53e+10,2.709e+10,2.839e+10,2.863e+10,3.07e+10,3.135e+10,3.257e+10,3.413e+10,3.527e+10,3.675e+10,3.813e+10,3.905e+10,4.016e+10,4.242e+10,4.39e+10,4.629e+10,4.847e+10,5.035e+10,5.293e+10,5.533e+10,5.781e+10,6.08e+10,6.364e+10,6.701e+10,7.042e+10,7.312e+10,7.658e+10,8.059e+10,8.586e+10,9.159e+10,9.805e+10,1.04e+11,1.092e+11,1.153e+11,1.227e+11,1.307e+11,1.386e+11,1.47e+11,1.566e+11
GDP,2005USD,n/a,Economy,ECO,misc,BGR,Bulgaria- the republic of,WDI2017P,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.857e+10,2.997e+10,3.067e+10,3.172e+10,3.28e+10,3.368e+10,3.509e+10,3.722e+10,4.129e+10,3.993e+10,3.629e+10,3.323e+10,3.081e+10,3.036e+10,3.091e+10,3.179e+10,3.23e+10,3.194e+10,3.306e+10,3.121e+10,3.277e+10,3.416e+10,3.622e+10,3.806e+10,4.055e+10,4.349e+10,4.642e+10,4.999e+10,5.281e+10,5.058e+10,5.061e+10,5.158e+10,5.16e+10,5.204e+10,5.273e+10,5.464e+10
GDP,2005USD,n/a,Economy,ECO,misc,BHR,Bahrain,WDI2017P,HISTORY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.624e+09,7.219e+09,6.673e+09,7.099e+09,7.454e+09,7.099e+09,7.183e+09,7.93e+09,8.486e+09,8.516e+09,8.894e+09,9.893e+09,1.056e+10,1.191e+10,1.188e+10,1.235e+10,1.286e+10,1.326e+10,1.389e+10,1.449e+10,1.526e+10,1.564e+10,1.62e+10,1.718e+10,1.838e+10,1.962e+10,2.089e+10,2.262e+10,2.403e+10,2.465e+10,2.571e+10,2.622e+10,2.72e+10,2.867e+10,2.992e+10,3.078e+10
